year,block,flow_type,rubric,value_pct_gdp,source,chart
2020,"Pensiones CPE","Ingreso","Presupuesto del Estado",1.464632,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2021,"Pensiones CPE","Ingreso","Presupuesto del Estado",1.399867,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2022,"Pensiones CPE","Ingreso","Presupuesto del Estado",1.353493,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2023,"Pensiones CPE","Ingreso","Presupuesto del Estado",1.392353,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2024,"Pensiones CPE","Ingreso","Presupuesto del Estado",1.389504,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2025,"Pensiones CPE","Ingreso","Presupuesto del Estado",1.392304,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2026,"Pensiones CPE","Ingreso","Presupuesto del Estado",1.417548,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2027,"Pensiones CPE","Ingreso","Presupuesto del Estado",1.434392,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2028,"Pensiones CPE","Ingreso","Presupuesto del Estado",1.44741,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2029,"Pensiones CPE","Ingreso","Presupuesto del Estado",1.450213,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2030,"Pensiones CPE","Ingreso","Presupuesto del Estado",1.455185,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2031,"Pensiones CPE","Ingreso","Presupuesto del Estado",1.460543,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2032,"Pensiones CPE","Ingreso","Presupuesto del Estado",1.463068,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2033,"Pensiones CPE","Ingreso","Presupuesto del Estado",1.464115,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2034,"Pensiones CPE","Ingreso","Presupuesto del Estado",1.462554,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2035,"Pensiones CPE","Ingreso","Presupuesto del Estado",1.459462,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2036,"Pensiones CPE","Ingreso","Presupuesto del Estado",1.456841,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2037,"Pensiones CPE","Ingreso","Presupuesto del Estado",1.454085,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2038,"Pensiones CPE","Ingreso","Presupuesto del Estado",1.452796,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2039,"Pensiones CPE","Ingreso","Presupuesto del Estado",1.450731,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2040,"Pensiones CPE","Ingreso","Presupuesto del Estado",1.446047,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2041,"Pensiones CPE","Ingreso","Presupuesto del Estado",1.43959,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2042,"Pensiones CPE","Ingreso","Presupuesto del Estado",1.4302,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2043,"Pensiones CPE","Ingreso","Presupuesto del Estado",1.415605,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2044,"Pensiones CPE","Ingreso","Presupuesto del Estado",1.396141,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2045,"Pensiones CPE","Ingreso","Presupuesto del Estado",1.372568,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2046,"Pensiones CPE","Ingreso","Presupuesto del Estado",1.344073,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2047,"Pensiones CPE","Ingreso","Presupuesto del Estado",1.311546,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2048,"Pensiones CPE","Ingreso","Presupuesto del Estado",1.274346,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2049,"Pensiones CPE","Ingreso","Presupuesto del Estado",1.233808,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2050,"Pensiones CPE","Ingreso","Presupuesto del Estado",1.189049,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
