year,scenario,pension_spending_pct_gdp,source,chart
2022,"AIReF Opinion 2025",12.705176,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2023,"AIReF Opinion 2025",12.920033,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2024,"AIReF Opinion 2025",12.979562,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2025,"AIReF Opinion 2025",12.994066,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2026,"AIReF Opinion 2025",13.075227,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2027,"AIReF Opinion 2025",13.150043,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2028,"AIReF Opinion 2025",13.209202,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2029,"AIReF Opinion 2025",13.268181,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2030,"AIReF Opinion 2025",13.3782,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2031,"AIReF Opinion 2025",13.502932,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2032,"AIReF Opinion 2025",13.641397,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2033,"AIReF Opinion 2025",13.804014,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2034,"AIReF Opinion 2025",13.973259,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2035,"AIReF Opinion 2025",14.150638,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2036,"AIReF Opinion 2025",14.33327,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2037,"AIReF Opinion 2025",14.516273,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2038,"AIReF Opinion 2025",14.707334,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2039,"AIReF Opinion 2025",14.901723,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2040,"AIReF Opinion 2025",15.089221,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2041,"AIReF Opinion 2025",15.269594,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2042,"AIReF Opinion 2025",15.439659,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2043,"AIReF Opinion 2025",15.594729,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2044,"AIReF Opinion 2025",15.733031,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2045,"AIReF Opinion 2025",15.849453,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2046,"AIReF Opinion 2025",15.942225,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2047,"AIReF Opinion 2025",16.008877,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2048,"AIReF Opinion 2025",16.048727,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2049,"AIReF Opinion 2025",16.064586,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2050,"AIReF Opinion 2025",16.054187,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2051,"AIReF Opinion 2025",16.02386,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2052,"AIReF Opinion 2025",15.973503,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2053,"AIReF Opinion 2025",15.910464,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2054,"AIReF Opinion 2025",15.833306,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2055,"AIReF Opinion 2025",15.74828,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2056,"AIReF Opinion 2025",15.656689,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2057,"AIReF Opinion 2025",15.560664,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2058,"AIReF Opinion 2025",15.46074,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2059,"AIReF Opinion 2025",15.361085,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2060,"AIReF Opinion 2025",15.26154,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2061,"AIReF Opinion 2025",15.166603,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2062,"AIReF Opinion 2025",15.074638,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2063,"AIReF Opinion 2025",14.988154,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2064,"AIReF Opinion 2025",14.909164,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2065,"AIReF Opinion 2025",14.838171,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2066,"AIReF Opinion 2025",14.777508,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2067,"AIReF Opinion 2025",14.727822,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2068,"AIReF Opinion 2025",14.690947,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2069,"AIReF Opinion 2025",14.668787,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2070,"AIReF Opinion 2025",14.660534,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2022,"Informe Envejecimiento 2024 inicial",13.086607,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2023,"Informe Envejecimiento 2024 inicial",13.567244,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2024,"Informe Envejecimiento 2024 inicial",13.655038,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2025,"Informe Envejecimiento 2024 inicial",13.715323,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2026,"Informe Envejecimiento 2024 inicial",13.80962,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2027,"Informe Envejecimiento 2024 inicial",13.921084,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2028,"Informe Envejecimiento 2024 inicial",14.018152,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2029,"Informe Envejecimiento 2024 inicial",14.152884,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2030,"Informe Envejecimiento 2024 inicial",14.328069,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2031,"Informe Envejecimiento 2024 inicial",14.538352,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2032,"Informe Envejecimiento 2024 inicial",14.777944,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2033,"Informe Envejecimiento 2024 inicial",15.014516,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2034,"Informe Envejecimiento 2024 inicial",15.240308,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2035,"Informe Envejecimiento 2024 inicial",15.448065,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2036,"Informe Envejecimiento 2024 inicial",15.63536,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2037,"Informe Envejecimiento 2024 inicial",15.800683,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2038,"Informe Envejecimiento 2024 inicial",15.954568,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2039,"Informe Envejecimiento 2024 inicial",16.092285,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2040,"Informe Envejecimiento 2024 inicial",16.204748,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2041,"Informe Envejecimiento 2024 inicial",16.340576,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2042,"Informe Envejecimiento 2024 inicial",16.485662,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2043,"Informe Envejecimiento 2024 inicial",16.635938,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2044,"Informe Envejecimiento 2024 inicial",16.783855,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2045,"Informe Envejecimiento 2024 inicial",16.920784,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2046,"Informe Envejecimiento 2024 inicial",17.042542,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2047,"Informe Envejecimiento 2024 inicial",17.13761,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2048,"Informe Envejecimiento 2024 inicial",17.20277,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2049,"Informe Envejecimiento 2024 inicial",17.250908,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2050,"Informe Envejecimiento 2024 inicial",17.27918,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2051,"Informe Envejecimiento 2024 inicial",17.290419,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2052,"Informe Envejecimiento 2024 inicial",17.286983,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2053,"Informe Envejecimiento 2024 inicial",17.273273,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2054,"Informe Envejecimiento 2024 inicial",17.241189,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2055,"Informe Envejecimiento 2024 inicial",17.193871,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2056,"Informe Envejecimiento 2024 inicial",17.136113,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2057,"Informe Envejecimiento 2024 inicial",17.069025,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2058,"Informe Envejecimiento 2024 inicial",16.998615,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2059,"Informe Envejecimiento 2024 inicial",16.928047,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2060,"Informe Envejecimiento 2024 inicial",16.858428,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2061,"Informe Envejecimiento 2024 inicial",16.793623,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2062,"Informe Envejecimiento 2024 inicial",16.735309,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2063,"Informe Envejecimiento 2024 inicial",16.686128,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2064,"Informe Envejecimiento 2024 inicial",16.647693,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2065,"Informe Envejecimiento 2024 inicial",16.620611,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2066,"Informe Envejecimiento 2024 inicial",16.60572,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2067,"Informe Envejecimiento 2024 inicial",16.605008,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2068,"Informe Envejecimiento 2024 inicial",16.620086,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2069,"Informe Envejecimiento 2024 inicial",16.651971,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2070,"Informe Envejecimiento 2024 inicial",16.702002,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2022,"Informe Envejecimiento 2024 actualizado",12.6434,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2023,"Informe Envejecimiento 2024 actualizado",12.831124,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2024,"Informe Envejecimiento 2024 actualizado",12.914154,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2025,"Informe Envejecimiento 2024 actualizado",12.971168,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2026,"Informe Envejecimiento 2024 actualizado",13.060349,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2027,"Informe Envejecimiento 2024 actualizado",13.165765,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2028,"Informe Envejecimiento 2024 actualizado",13.257566,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2029,"Informe Envejecimiento 2024 actualizado",13.384988,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2030,"Informe Envejecimiento 2024 actualizado",13.550668,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2031,"Informe Envejecimiento 2024 actualizado",13.749542,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2032,"Informe Envejecimiento 2024 actualizado",13.976134,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2033,"Informe Envejecimiento 2024 actualizado",14.199871,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2034,"Informe Envejecimiento 2024 actualizado",14.413412,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2035,"Informe Envejecimiento 2024 actualizado",14.609896,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2036,"Informe Envejecimiento 2024 actualizado",14.787029,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2037,"Informe Envejecimiento 2024 actualizado",14.943382,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2038,"Informe Envejecimiento 2024 actualizado",15.088918,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2039,"Informe Envejecimiento 2024 actualizado",15.219162,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2040,"Informe Envejecimiento 2024 actualizado",15.325524,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2041,"Informe Envejecimiento 2024 actualizado",15.453982,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2042,"Informe Envejecimiento 2024 actualizado",15.591196,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2043,"Informe Envejecimiento 2024 actualizado",15.733319,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2044,"Informe Envejecimiento 2024 actualizado",15.87321,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2045,"Informe Envejecimiento 2024 actualizado",16.00271,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2046,"Informe Envejecimiento 2024 actualizado",16.117861,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2047,"Informe Envejecimiento 2024 actualizado",16.207771,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
