year,scenario,pensioners_million,source,chart
2022,"Informe de Envejecimiento",9.984304,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2023,"Informe de Envejecimiento",10.106514,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2024,"Informe de Envejecimiento",10.242865,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2025,"Informe de Envejecimiento",10.374283,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2026,"Informe de Envejecimiento",10.50677,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2027,"Informe de Envejecimiento",10.641625,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2028,"Informe de Envejecimiento",10.78763,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2029,"Informe de Envejecimiento",10.952062,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2030,"Informe de Envejecimiento",11.136785,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2031,"Informe de Envejecimiento",11.337612,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2032,"Informe de Envejecimiento",11.552464,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2033,"Informe de Envejecimiento",11.777509,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2034,"Informe de Envejecimiento",12.010534,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2035,"Informe de Envejecimiento",12.249197,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2036,"Informe de Envejecimiento",12.49289,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2037,"Informe de Envejecimiento",12.742986,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2038,"Informe de Envejecimiento",12.995826,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2039,"Informe de Envejecimiento",13.247888,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2040,"Informe de Envejecimiento",13.492766,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2041,"Informe de Envejecimiento",13.74754,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2042,"Informe de Envejecimiento",14.001672,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2043,"Informe de Envejecimiento",14.252213,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2044,"Informe de Envejecimiento",14.49503,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2045,"Informe de Envejecimiento",14.725209,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2046,"Informe de Envejecimiento",14.942545,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2047,"Informe de Envejecimiento",15.139735,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2048,"Informe de Envejecimiento",15.315747,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2049,"Informe de Envejecimiento",15.471222,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2050,"Informe de Envejecimiento",15.604967,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2051,"Informe de Envejecimiento",15.717545,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2052,"Informe de Envejecimiento",15.809509,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2053,"Informe de Envejecimiento",15.883459,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2054,"Informe de Envejecimiento",15.940135,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2055,"Informe de Envejecimiento",15.980648,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2056,"Informe de Envejecimiento",16.008085,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2057,"Informe de Envejecimiento",16.021596,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2058,"Informe de Envejecimiento",16.023871,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2059,"Informe de Envejecimiento",16.016113,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2060,"Informe de Envejecimiento",15.998765,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2061,"Informe de Envejecimiento",15.975101,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2062,"Informe de Envejecimiento",15.945346,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2063,"Informe de Envejecimiento",15.910753,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2064,"Informe de Envejecimiento",15.872266,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2065,"Informe de Envejecimiento",15.830812,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2066,"Informe de Envejecimiento",15.787887,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2067,"Informe de Envejecimiento",15.744742,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2068,"Informe de Envejecimiento",15.704128,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2069,"Informe de Envejecimiento",15.667757,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2070,"Informe de Envejecimiento",15.636736,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2022,"AIReF",10.084781,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2023,"AIReF",10.209658,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2024,"AIReF",10.33367,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2025,"AIReF",10.469037,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2026,"AIReF",10.601394,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2027,"AIReF",10.764708,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2028,"AIReF",10.936402,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2029,"AIReF",11.115793,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2030,"AIReF",11.30315,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2031,"AIReF",11.501388,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2032,"AIReF",11.706453,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2033,"AIReF",11.92052,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2034,"AIReF",12.139733,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2035,"AIReF",12.367405,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2036,"AIReF",12.604218,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2037,"AIReF",12.843492,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2038,"AIReF",13.084694,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2039,"AIReF",13.328847,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2040,"AIReF",13.572925,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2041,"AIReF",13.813719,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2042,"AIReF",14.04319,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2043,"AIReF",14.267133,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2044,"AIReF",14.478052,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2045,"AIReF",14.674224,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2046,"AIReF",14.854745,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2047,"AIReF",15.016203,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2048,"AIReF",15.15863,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2049,"AIReF",15.281051,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2050,"AIReF",15.383342,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2051,"AIReF",15.467261,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2052,"AIReF",15.532811,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2053,"AIReF",15.582912,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2054,"AIReF",15.618239,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2055,"AIReF",15.640137,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2056,"AIReF",15.650477,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2057,"AIReF",15.649914,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2058,"AIReF",15.639528,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2059,"AIReF",15.620863,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2060,"AIReF",15.593894,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2061,"AIReF",15.562061,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2062,"AIReF",15.525665,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2063,"AIReF",15.484925,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2064,"AIReF",15.443292,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2065,"AIReF",15.40098,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2066,"AIReF",15.359974,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2067,"AIReF",15.320804,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2068,"AIReF",15.286606,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2069,"AIReF",15.259485,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
2070,"AIReF",15.238152,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 6"
