"anio","ambito_geografico","sexo","grupo_edad","edad_inicio","edad_fin","categoria_sanitaria","estado_dato","fuente_gasto","fuente_supervivencia","metodologia","gasto_per_capita_euros_2022","anos_persona_esperados","gasto_vital_esperado_tramo_euros_2022","porcentaje_sobre_gasto_vital_esperado"
"2022","Espana","Ambos sexos","0 a 4","0","4","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","2974.1","4.98595","14828.69","8.5133"
"2022","Espana","Ambos sexos","5 a 9","5","9","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","1301.32","4.982861","6484.29","3.7227"
"2022","Espana","Ambos sexos","10 a 14","10","14","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","1197.01","4.980908","5962.18","3.4229"
"2022","Espana","Ambos sexos","15 a 19","15","19","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","1230.34","4.977564","6124.1","3.5159"
"2022","Espana","Ambos sexos","20 a 24","20","24","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","1336.96","4.971584","6646.82","3.816"
"2022","Espana","Ambos sexos","25 a 29","25","29","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","1609.49","4.964533","7990.35","4.5873"
"2022","Espana","Ambos sexos","30 a 34","30","34","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","1652.94","4.956096","8192.11","4.7032"
"2022","Espana","Ambos sexos","35 a 39","35","39","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","1713.4","4.943863","8470.81","4.8632"
"2022","Espana","Ambos sexos","40 a 44","40","44","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","1623.1","4.926418","7996.05","4.5906"
"2022","Espana","Ambos sexos","45 a 49","45","49","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","INE - Tablas de Mortalidad, tabla API 27153","Gasto esperado por tramo = gasto per capita AIReF 2022 x anos-persona de poblacion estacionaria INE 2022 / 100000","1802.2","4.899173","8829.29","5.069"
