"anio","ambito_geografico","sexo","grupo_edad","edad_inicio","edad_fin","indicador","categoria_sanitaria","estado_dato","fuente","url","gasto_per_capita_euros_2022"
"2022","Espana","Ambos sexos","0 a 4","0","4","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","2974.09580293886"
"2022","Espana","Ambos sexos","5 a 9","5","9","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","1301.31883602053"
"2022","Espana","Ambos sexos","10 a 14","10","14","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","1197.00563492345"
"2022","Espana","Ambos sexos","15 a 19","15","19","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","1230.34130351994"
"2022","Espana","Ambos sexos","20 a 24","20","24","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","1336.9623146318"
"2022","Espana","Ambos sexos","25 a 29","25","29","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","1609.48774684015"
"2022","Espana","Ambos sexos","30 a 34","30","34","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","1652.93595372176"
"2022","Espana","Ambos sexos","35 a 39","35","39","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","1713.39950748955"
"2022","Espana","Ambos sexos","40 a 44","40","44","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","1623.09532080547"
"2022","Espana","Ambos sexos","45 a 49","45","49","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","1802.20098393933"
"2022","Espana","Ambos sexos","50 a 54","50","54","Gasto sanitario publico per capita por edad y sexo","Total sanidad","estimado","AIReF - Graficos y cuadros del Documento tecnico de sanidad, educacion y cuidados 2025","https://www.airef.es/wp-content/uploads/2025/04/Documentos-tecnicos-segunda-opinion-sostenibilidad-a-largo-plazo-AAPP/Graficos-y-Cuadros-DT-Sanidad-Educ-CLD.xlsx","1862.85827515237"
