"forecast_publication_date","report","target_year","country","geo_code","indicator","unit","debt_percent_gdp","source_institution","source_workbook","source_sheet"
"2024-10-01","Líneas Presupuestos 2025 y PFEMP","2014","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","104.448","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2024-10-01","Líneas Presupuestos 2025 y PFEMP","2015","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","102.485","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2024-10-01","Líneas Presupuestos 2025 y PFEMP","2016","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","102.020","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2024-10-01","Líneas Presupuestos 2025 y PFEMP","2017","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","101.207","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2024-10-01","Líneas Presupuestos 2025 y PFEMP","2018","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","99.791","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2024-10-01","Líneas Presupuestos 2025 y PFEMP","2019","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","97.659","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2024-10-01","Líneas Presupuestos 2025 y PFEMP","2020","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","119.279","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2024-10-01","Líneas Presupuestos 2025 y PFEMP","2021","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","115.697","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2024-10-01","Líneas Presupuestos 2025 y PFEMP","2022","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","109.499","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2024-10-01","Líneas Presupuestos 2025 y PFEMP","2023","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","105.142","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2024-10-01","Líneas Presupuestos 2025 y PFEMP","2024","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","102.655","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2024-10-01","Líneas Presupuestos 2025 y PFEMP","2025","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","101.128","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2024-10-01","Líneas Presupuestos 2025 y PFEMP","2026","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","100.054","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2024-10-01","Líneas Presupuestos 2025 y PFEMP","2027","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","99.245","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2024-10-01","Líneas Presupuestos 2025 y PFEMP","2028","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","98.671","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2024-10-01","Líneas Presupuestos 2025 y PFEMP","2029","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","97.975","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2024-07-01","Ejecución presupuestaria 24","2014","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","105.059","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2024-07-01","Ejecución presupuestaria 24","2015","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","103.299","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2024-07-01","Ejecución presupuestaria 24","2016","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","102.749","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2024-07-01","Ejecución presupuestaria 24","2017","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","101.800","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2024-07-01","Ejecución presupuestaria 24","2018","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","100.415","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2024-07-01","Ejecución presupuestaria 24","2019","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","98.221","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2024-07-01","Ejecución presupuestaria 24","2020","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","120.266","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2024-07-01","Ejecución presupuestaria 24","2021","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","116.841","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2024-07-01","Ejecución presupuestaria 24","2022","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","111.618","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2024-07-01","Ejecución presupuestaria 24","2023","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","107.652","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2024-07-01","Ejecución presupuestaria 24","2024","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","105.320","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2024-04-01","Presupuestos iniciales 23","2014","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","105.059","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2024-04-01","Presupuestos iniciales 23","2015","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","103.299","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2024-04-01","Presupuestos iniciales 23","2016","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","102.749","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2024-04-01","Presupuestos iniciales 23","2017","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","101.800","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2024-04-01","Presupuestos iniciales 23","2018","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","100.415","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2024-04-01","Presupuestos iniciales 23","2019","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","98.221","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2024-04-01","Presupuestos iniciales 23","2020","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","120.266","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2024-04-01","Presupuestos iniciales 23","2021","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","116.841","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2024-04-01","Presupuestos iniciales 23","2022","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","111.618","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2024-04-01","Presupuestos iniciales 23","2023","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","107.652","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2024-04-01","Presupuestos iniciales 23","2024","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","105.797","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2024-04-01","Presupuestos iniciales 23","2025","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","104.980","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2024-04-01","Presupuestos iniciales 23","2026","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","104.579","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2024-04-01","Presupuestos iniciales 23","2027","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","104.354","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2024-04-01","Presupuestos iniciales 23","2028","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","104.263","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2023-10-01","DBP24","2014","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","105.059","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2023-10-01","DBP24","2015","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","103.299","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2023-10-01","DBP24","2016","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","102.749","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2023-10-01","DBP24","2017","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","101.800","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2023-10-01","DBP24","2018","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","100.415","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2023-10-01","DBP24","2019","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","98.221","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2023-10-01","DBP24","2020","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","120.266","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2023-10-01","DBP24","2021","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","116.841","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2023-10-01","DBP24","2022","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","111.618","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2023-10-01","DBP24","2023","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","107.782","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2023-10-01","DBP24","2024","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","106.269","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2023-10-01","DBP24","2025","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","105.828","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2023-10-01","DBP24","2026","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","105.606","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2023-10-01","DBP24","2027","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","105.480","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2023-10-01","DBP24","2028","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","105.440","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2023-07-01","Ejecución presupuestaria 23","2014","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","105.059","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2023-07-01","Ejecución presupuestaria 23","2015","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","103.299","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2023-07-01","Ejecución presupuestaria 23","2016","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","102.749","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2023-07-01","Ejecución presupuestaria 23","2017","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","101.800","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2023-07-01","Ejecución presupuestaria 23","2018","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","100.415","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2023-07-01","Ejecución presupuestaria 23","2019","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","98.221","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2023-07-01","Ejecución presupuestaria 23","2020","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","120.376","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
"2023-07-01","Ejecución presupuestaria 23","2021","Espana","ES","Ratio de deuda sobre PIB","porcentaje del PIB","118.262","AIReF","Historico_Deuda.xlsx","Historico_Deuda_PIB"
