"ano","variable","escenario","valor_pct_pib","unidad","estado_dato","fuente","detalle_fuente"
"2022","coste_total_envejecimiento","baseline","23.9122","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 52 Total spending as % of GDP, baseline"
"2023","coste_total_envejecimiento","baseline","24.3145","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 52 Total spending as % of GDP, baseline"
"2024","coste_total_envejecimiento","baseline","24.3896","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 52 Total spending as % of GDP, baseline"
"2025","coste_total_envejecimiento","baseline","24.4433","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 52 Total spending as % of GDP, baseline"
"2026","coste_total_envejecimiento","baseline","24.5271","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 52 Total spending as % of GDP, baseline"
"2027","coste_total_envejecimiento","baseline","24.6412","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 52 Total spending as % of GDP, baseline"
"2028","coste_total_envejecimiento","baseline","24.7371","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 52 Total spending as % of GDP, baseline"
"2029","coste_total_envejecimiento","baseline","24.8755","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 52 Total spending as % of GDP, baseline"
"2030","coste_total_envejecimiento","baseline","25.0576","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 52 Total spending as % of GDP, baseline"
"2031","coste_total_envejecimiento","baseline","25.2867","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 52 Total spending as % of GDP, baseline"
"2032","coste_total_envejecimiento","baseline","25.5452","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 52 Total spending as % of GDP, baseline"
"2033","coste_total_envejecimiento","baseline","25.8062","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 52 Total spending as % of GDP, baseline"
"2034","coste_total_envejecimiento","baseline","26.0595","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 52 Total spending as % of GDP, baseline"
"2035","coste_total_envejecimiento","baseline","26.2975","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 52 Total spending as % of GDP, baseline"
"2036","coste_total_envejecimiento","baseline","26.5163","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 52 Total spending as % of GDP, baseline"
"2037","coste_total_envejecimiento","baseline","26.7194","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 52 Total spending as % of GDP, baseline"
"2038","coste_total_envejecimiento","baseline","26.9181","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 52 Total spending as % of GDP, baseline"
"2039","coste_total_envejecimiento","baseline","27.112","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 52 Total spending as % of GDP, baseline"
"2040","coste_total_envejecimiento","baseline","27.283","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 52 Total spending as % of GDP, baseline"
"2041","coste_total_envejecimiento","baseline","27.4888","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 52 Total spending as % of GDP, baseline"
"2042","coste_total_envejecimiento","baseline","27.7089","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 52 Total spending as % of GDP, baseline"
"2043","coste_total_envejecimiento","baseline","27.9422","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 52 Total spending as % of GDP, baseline"
"2044","coste_total_envejecimiento","baseline","28.1772","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 52 Total spending as % of GDP, baseline"
"2045","coste_total_envejecimiento","baseline","28.4033","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 52 Total spending as % of GDP, baseline"
"2046","coste_total_envejecimiento","baseline","28.6141","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 52 Total spending as % of GDP, baseline"
"2047","coste_total_envejecimiento","baseline","28.7983","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 52 Total spending as % of GDP, baseline"
"2048","coste_total_envejecimiento","baseline","28.9481","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 52 Total spending as % of GDP, baseline"
"2049","coste_total_envejecimiento","baseline","29.0806","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 52 Total spending as % of GDP, baseline"
"2050","coste_total_envejecimiento","baseline","29.189","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 52 Total spending as % of GDP, baseline"
"2051","coste_total_envejecimiento","baseline","29.276","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 52 Total spending as % of GDP, baseline"
"2052","coste_total_envejecimiento","baseline","29.3427","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 52 Total spending as % of GDP, baseline"
"2053","coste_total_envejecimiento","baseline","29.3943","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 52 Total spending as % of GDP, baseline"
"2054","coste_total_envejecimiento","baseline","29.4198","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 52 Total spending as % of GDP, baseline"
