"ano","indicador","valor_pct","unidad","estado_dato","escenario","ambito","sistema","definicion","fuente","detalle_fuente","nota"
"2022","tasa_reemplazo_jubilacion","77.1799","porcentaje","proyectado","Ageing Report 2024 baseline","Espana","pensiones publicas contributivas de vejez, earnings-related","Pension inicial media de nuevos pensionistas sobre salario final medio antes de la jubilacion.","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","Hoja ESb, fila 24, Gross replacement rate at retirement (earnings-related public pensions)","Serie anual proyectada. No es dato observado historico ni incluye planes privados; usar separada de cualquier reconstruccion historica."
"2023","tasa_reemplazo_jubilacion","74.7545","porcentaje","proyectado","Ageing Report 2024 baseline","Espana","pensiones publicas contributivas de vejez, earnings-related","Pension inicial media de nuevos pensionistas sobre salario final medio antes de la jubilacion.","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","Hoja ESb, fila 24, Gross replacement rate at retirement (earnings-related public pensions)","Serie anual proyectada. No es dato observado historico ni incluye planes privados; usar separada de cualquier reconstruccion historica."
"2024","tasa_reemplazo_jubilacion","75.8224","porcentaje","proyectado","Ageing Report 2024 baseline","Espana","pensiones publicas contributivas de vejez, earnings-related","Pension inicial media de nuevos pensionistas sobre salario final medio antes de la jubilacion.","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","Hoja ESb, fila 24, Gross replacement rate at retirement (earnings-related public pensions)","Serie anual proyectada. No es dato observado historico ni incluye planes privados; usar separada de cualquier reconstruccion historica."
"2025","tasa_reemplazo_jubilacion","76.2945","porcentaje","proyectado","Ageing Report 2024 baseline","Espana","pensiones publicas contributivas de vejez, earnings-related","Pension inicial media de nuevos pensionistas sobre salario final medio antes de la jubilacion.","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","Hoja ESb, fila 24, Gross replacement rate at retirement (earnings-related public pensions)","Serie anual proyectada. No es dato observado historico ni incluye planes privados; usar separada de cualquier reconstruccion historica."
"2026","tasa_reemplazo_jubilacion","76.6153","porcentaje","proyectado","Ageing Report 2024 baseline","Espana","pensiones publicas contributivas de vejez, earnings-related","Pension inicial media de nuevos pensionistas sobre salario final medio antes de la jubilacion.","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","Hoja ESb, fila 24, Gross replacement rate at retirement (earnings-related public pensions)","Serie anual proyectada. No es dato observado historico ni incluye planes privados; usar separada de cualquier reconstruccion historica."
"2027","tasa_reemplazo_jubilacion","76.9588","porcentaje","proyectado","Ageing Report 2024 baseline","Espana","pensiones publicas contributivas de vejez, earnings-related","Pension inicial media de nuevos pensionistas sobre salario final medio antes de la jubilacion.","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","Hoja ESb, fila 24, Gross replacement rate at retirement (earnings-related public pensions)","Serie anual proyectada. No es dato observado historico ni incluye planes privados; usar separada de cualquier reconstruccion historica."
"2028","tasa_reemplazo_jubilacion","76.774","porcentaje","proyectado","Ageing Report 2024 baseline","Espana","pensiones publicas contributivas de vejez, earnings-related","Pension inicial media de nuevos pensionistas sobre salario final medio antes de la jubilacion.","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","Hoja ESb, fila 24, Gross replacement rate at retirement (earnings-related public pensions)","Serie anual proyectada. No es dato observado historico ni incluye planes privados; usar separada de cualquier reconstruccion historica."
"2029","tasa_reemplazo_jubilacion","76.45","porcentaje","proyectado","Ageing Report 2024 baseline","Espana","pensiones publicas contributivas de vejez, earnings-related","Pension inicial media de nuevos pensionistas sobre salario final medio antes de la jubilacion.","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","Hoja ESb, fila 24, Gross replacement rate at retirement (earnings-related public pensions)","Serie anual proyectada. No es dato observado historico ni incluye planes privados; usar separada de cualquier reconstruccion historica."
"2030","tasa_reemplazo_jubilacion","76.0479","porcentaje","proyectado","Ageing Report 2024 baseline","Espana","pensiones publicas contributivas de vejez, earnings-related","Pension inicial media de nuevos pensionistas sobre salario final medio antes de la jubilacion.","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","Hoja ESb, fila 24, Gross replacement rate at retirement (earnings-related public pensions)","Serie anual proyectada. No es dato observado historico ni incluye planes privados; usar separada de cualquier reconstruccion historica."
"2031","tasa_reemplazo_jubilacion","75.4782","porcentaje","proyectado","Ageing Report 2024 baseline","Espana","pensiones publicas contributivas de vejez, earnings-related","Pension inicial media de nuevos pensionistas sobre salario final medio antes de la jubilacion.","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","Hoja ESb, fila 24, Gross replacement rate at retirement (earnings-related public pensions)","Serie anual proyectada. No es dato observado historico ni incluye planes privados; usar separada de cualquier reconstruccion historica."
