"year","country","geo_code","indicator","sector","eurostat_dataset","eurostat_na_item","debt_million_eur","debt_billion_eur","debt_percent_gdp","source_updated"
"1995","Espana","ES","Deuda bruta consolidada de las Administraciones Publicas","Administraciones Publicas (S13)","gov_10dd_edpt1","GD","295604.0","295.604","61.6","2026-04-22T11:00:00+0200"
"1996","Espana","ES","Deuda bruta consolidada de las Administraciones Publicas","Administraciones Publicas (S13)","gov_10dd_edpt1","GD","324300.8","324.301","65.4","2026-04-22T11:00:00+0200"
"1997","Espana","ES","Deuda bruta consolidada de las Administraciones Publicas","Administraciones Publicas (S13)","gov_10dd_edpt1","GD","331630.2","331.630","64.3","2026-04-22T11:00:00+0200"
"1998","Espana","ES","Deuda bruta consolidada de las Administraciones Publicas","Administraciones Publicas (S13)","gov_10dd_edpt1","GD","346417.0","346.417","62.4","2026-04-22T11:00:00+0200"
"1999","Espana","ES","Deuda bruta consolidada de las Administraciones Publicas","Administraciones Publicas (S13)","gov_10dd_edpt1","GD","362223.5","362.224","60.9","2026-04-22T11:00:00+0200"
"2000","Espana","ES","Deuda bruta consolidada de las Administraciones Publicas","Administraciones Publicas (S13)","gov_10dd_edpt1","GD","374557.2","374.557","57.8","2026-04-22T11:00:00+0200"
"2001","Espana","ES","Deuda bruta consolidada de las Administraciones Publicas","Administraciones Publicas (S13)","gov_10dd_edpt1","GD","378883.4","378.883","54.1","2026-04-22T11:00:00+0200"
"2002","Espana","ES","Deuda bruta consolidada de las Administraciones Publicas","Administraciones Publicas (S13)","gov_10dd_edpt1","GD","384145.3","384.145","51.2","2026-04-22T11:00:00+0200"
"2003","Espana","ES","Deuda bruta consolidada de las Administraciones Publicas","Administraciones Publicas (S13)","gov_10dd_edpt1","GD","382775.0","382.775","47.7","2026-04-22T11:00:00+0200"
"2004","Espana","ES","Deuda bruta consolidada de las Administraciones Publicas","Administraciones Publicas (S13)","gov_10dd_edpt1","GD","389887.9","389.888","45.3","2026-04-22T11:00:00+0200"
"2005","Espana","ES","Deuda bruta consolidada de las Administraciones Publicas","Administraciones Publicas (S13)","gov_10dd_edpt1","GD","393479.1","393.479","42.4","2026-04-22T11:00:00+0200"
"2006","Espana","ES","Deuda bruta consolidada de las Administraciones Publicas","Administraciones Publicas (S13)","gov_10dd_edpt1","GD","392132.2","392.132","39.0","2026-04-22T11:00:00+0200"
"2007","Espana","ES","Deuda bruta consolidada de las Administraciones Publicas","Administraciones Publicas (S13)","gov_10dd_edpt1","GD","384662.0","384.662","35.7","2026-04-22T11:00:00+0200"
"2008","Espana","ES","Deuda bruta consolidada de las Administraciones Publicas","Administraciones Publicas (S13)","gov_10dd_edpt1","GD","440621.0","440.621","39.6","2026-04-22T11:00:00+0200"
"2009","Espana","ES","Deuda bruta consolidada de las Administraciones Publicas","Administraciones Publicas (S13)","gov_10dd_edpt1","GD","569535.4","569.535","53.1","2026-04-22T11:00:00+0200"
"2010","Espana","ES","Deuda bruta consolidada de las Administraciones Publicas","Administraciones Publicas (S13)","gov_10dd_edpt1","GD","649152.5","649.153","60.3","2026-04-22T11:00:00+0200"
"2011","Espana","ES","Deuda bruta consolidada de las Administraciones Publicas","Administraciones Publicas (S13)","gov_10dd_edpt1","GD","743043.2","743.043","69.5","2026-04-22T11:00:00+0200"
"2012","Espana","ES","Deuda bruta consolidada de las Administraciones Publicas","Administraciones Publicas (S13)","gov_10dd_edpt1","GD","927813.3","927.813","89.6","2026-04-22T11:00:00+0200"
"2013","Espana","ES","Deuda bruta consolidada de las Administraciones Publicas","Administraciones Publicas (S13)","gov_10dd_edpt1","GD","1025805.2","1025.805","100.0","2026-04-22T11:00:00+0200"
"2014","Espana","ES","Deuda bruta consolidada de las Administraciones Publicas","Administraciones Publicas (S13)","gov_10dd_edpt1","GD","1085165.4","1085.165","104.4","2026-04-22T11:00:00+0200"
"2015","Espana","ES","Deuda bruta consolidada de las Administraciones Publicas","Administraciones Publicas (S13)","gov_10dd_edpt1","GD","1114129.0","1114.129","102.5","2026-04-22T11:00:00+0200"
