"ano","variable","etiqueta","valor_millones_eur","valor_pct_pib","unidad_principal","estado_dato","fuente","definicion","nota"
"1975","deficit_saldo_publico","Deficit o saldo publico","-416.822329","-1.044654","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Capacidad (+) o necesidad (-) de financiacion de las AAPP.","Negativo significa deficit; positivo significa superavit."
"1975","deuda_publica_total","Deuda publica total","4769.648927","11.953858","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Deuda publica total de las AAPP segun Procedimiento de Deficit Excesivo.","BDMACRO remite a Banco de Espana para la deuda PDE."
"1975","gasto_pensiones","Gasto publico en pensiones","","","millones de euros corrientes o porcentaje del PIB","no_estimado","","Gasto publico en pensiones.","No hay una serie homogenea procesada para este ano; no se usa la serie amplia de prestaciones sociales como pensiones puras."
"1975","gasto_publico_total","Gasto publico total","9029.793372","22.630779","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Empleos no financieros de las Administraciones Publicas.","Dato observado BDMACRO."
"1975","gasto_sanidad","Gasto publico en sanidad","","","millones de euros corrientes o porcentaje del PIB","no_estimado","","Gasto publico en sanidad.","Sin serie historica COFOG comparable antes de 1995 ni proyeccion procesada para este ano."
"1975","intereses_deuda","Intereses de la deuda","170.668806","0.427736","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Intereses mas otras rentas de la propiedad de las AAPP, columna U BDMACRO.","No es D.41 puro: BDMACRO agrega intereses y otras rentas de la propiedad."
"1975","pib","PIB","39900.497831","","millones de euros corrientes","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Producto Interior Bruto a precios corrientes.","Dato observado BDMACRO."
"1976","deficit_saldo_publico","Deficit o saldo publico","-615.929826","-1.28275","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Capacidad (+) o necesidad (-) de financiacion de las AAPP.","Negativo significa deficit; positivo significa superavit."
"1976","deuda_publica_total","Deuda publica total","6136.575272","12.780174","millones de euros corrientes y porcentaje del PIB","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Deuda publica total de las AAPP segun Procedimiento de Deficit Excesivo.","BDMACRO remite a Banco de Espana para la deuda PDE."
"1976","gasto_pensiones","Gasto publico en pensiones","","","millones de euros corrientes o porcentaje del PIB","no_estimado","","Gasto publico en pensiones.","No hay una serie homogenea procesada para este ano; no se usa la serie amplia de prestaciones sociales como pensiones puras."
