"ano","variable","valor_millones_eur","valor_pct_pib","estado_dato","fuente","metodologia"
"2025","deficit_saldo_publico","-52283.612876","-3.152466","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio saldo/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; negativo significa deficit; importe calculado con PIB corriente estimado."
"2025","gasto_publico_total","751946.174936","45.338968","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio gasto/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; importe calculado con PIB corriente estimado."
"2025","intereses_deuda","41909.425154","2.52695","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio intereses/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; importe calculado con PIB corriente estimado."
"2025","pib","1658498.656027","","estimado","Comision Europea Ageing Report 2024 + IGAE/SEPG BDMACRO","PIB corriente estimado desde PIB BDMACRO 2024, crecimiento de PIB potencial Ageing Report y HICP Ageing Report. HICP se usa como proxy de deflactor; no es nivel oficial de PIB nominal."
"2026","deficit_saldo_publico","-53108.17408","-3.08935","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio saldo/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; negativo significa deficit; importe calculado con PIB corriente estimado."
"2026","gasto_publico_total","777093.582456","45.204226","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio gasto/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; importe calculado con PIB corriente estimado."
"2026","intereses_deuda","45043.356904","2.620212","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio intereses/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; importe calculado con PIB corriente estimado."
"2026","pib","1719072.863799","","estimado","Comision Europea Ageing Report 2024 + IGAE/SEPG BDMACRO","PIB corriente estimado desde PIB BDMACRO 2024, crecimiento de PIB potencial Ageing Report y HICP Ageing Report. HICP se usa como proxy de deflactor; no es nivel oficial de PIB nominal."
"2027","deficit_saldo_publico","-53736.198154","-3.026233","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio saldo/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; negativo significa deficit; importe calculado con PIB corriente estimado."
"2027","gasto_publico_total","800289.52261","45.069484","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio gasto/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; importe calculado con PIB corriente estimado."
"2027","intereses_deuda","48182.611816","2.713475","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio intereses/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; importe calculado con PIB corriente estimado."
"2027","pib","1775679.354594","","estimado","Comision Europea Ageing Report 2024 + IGAE/SEPG BDMACRO","PIB corriente estimado desde PIB BDMACRO 2024, crecimiento de PIB potencial Ageing Report y HICP Ageing Report. HICP se usa como proxy de deflactor; no es nivel oficial de PIB nominal."
"2028","deficit_saldo_publico","-54233.738897","-2.963117","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio saldo/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; negativo significa deficit; importe calculado con PIB corriente estimado."
"2028","gasto_publico_total","822437.788986","44.934742","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio gasto/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; importe calculado con PIB corriente estimado."
"2028","intereses_deuda","51371.540122","2.806737","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio intereses/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; importe calculado con PIB corriente estimado."
"2028","pib","1830293.782449","","estimado","Comision Europea Ageing Report 2024 + IGAE/SEPG BDMACRO","PIB corriente estimado desde PIB BDMACRO 2024, crecimiento de PIB potencial Ageing Report y HICP Ageing Report. HICP se usa como proxy de deflactor; no es nivel oficial de PIB nominal."
"2029","deficit_saldo_publico","-54652.471897","-2.9","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio saldo/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; negativo significa deficit; importe calculado con PIB corriente estimado."
"2029","gasto_publico_total","844286.462415","44.8","estimado","AIReF Opinion sostenibilidad AAPP 2025 + Comision Europea Ageing Report 2024","Ratio gasto/PIB interpolado linealmente entre 2024 observado BDMACRO y anclas AIReF 2029, 2041, 2050 y 2070; importe calculado con PIB corriente estimado."
