year,year_label,gdp_million_eur,social_benefits_social_security_million_eur,social_benefits_social_security_pct_gdp,source,definition
1975,"1975",39900.497831,2127.563016,5.332172,"SEPG/BDMACRO; IGAE para ingresos y gastos de Administraciones Publicas","Prestaciones sociales del subsector Seguridad Social; incluye pensiones y otras prestaciones sociales, no es una serie pura de gasto en pensiones"
1976,"1976",48016.365611,2511.998606,5.231547,"SEPG/BDMACRO; IGAE para ingresos y gastos de Administraciones Publicas","Prestaciones sociales del subsector Seguridad Social; incluye pensiones y otras prestaciones sociales, no es una serie pura de gasto en pensiones"
1977,"1977",60925.288788,3766.772445,6.182609,"SEPG/BDMACRO; IGAE para ingresos y gastos de Administraciones Publicas","Prestaciones sociales del subsector Seguridad Social; incluye pensiones y otras prestaciones sociales, no es una serie pura de gasto en pensiones"
1978,"1978",74571.381955,5382.279158,7.21762,"SEPG/BDMACRO; IGAE para ingresos y gastos de Administraciones Publicas","Prestaciones sociales del subsector Seguridad Social; incluye pensiones y otras prestaciones sociales, no es una serie pura de gasto en pensiones"
1979,"1979",87233.132444,8444.658805,9.680564,"SEPG/BDMACRO; IGAE para ingresos y gastos de Administraciones Publicas","Prestaciones sociales del subsector Seguridad Social; incluye pensiones y otras prestaciones sociales, no es una serie pura de gasto en pensiones"
1980,"1980",100230.140421,10157.260827,10.133939,"SEPG/BDMACRO; IGAE para ingresos y gastos de Administraciones Publicas","Prestaciones sociales del subsector Seguridad Social; incluye pensiones y otras prestaciones sociales, no es una serie pura de gasto en pensiones"
1981,"1981",112454.02062,12753.296551,11.340899,"SEPG/BDMACRO; IGAE para ingresos y gastos de Administraciones Publicas","Prestaciones sociales del subsector Seguridad Social; incluye pensiones y otras prestaciones sociales, no es una serie pura de gasto en pensiones"
1982,"1982",129320.599276,14659.971392,11.336146,"SEPG/BDMACRO; IGAE para ingresos y gastos de Administraciones Publicas","Prestaciones sociales del subsector Seguridad Social; incluye pensiones y otras prestaciones sociales, no es una serie pura de gasto en pensiones"
1983,"1983",147258.489012,17198.340005,11.679014,"SEPG/BDMACRO; IGAE para ingresos y gastos de Administraciones Publicas","Prestaciones sociales del subsector Seguridad Social; incluye pensiones y otras prestaciones sociales, no es una serie pura de gasto en pensiones"
1984,"1984",166174.12095,19481.098169,11.723304,"SEPG/BDMACRO; IGAE para ingresos y gastos de Administraciones Publicas","Prestaciones sociales del subsector Seguridad Social; incluye pensiones y otras prestaciones sociales, no es una serie pura de gasto en pensiones"
