"year","indicator","cofog_components","nominal_million_eur","real_2024_million_eur","pct_total_public_spending","pct_social_protection","real_2024_eur_per_capita","total_public_spending_million_eur","social_protection_total_million_eur","population_1_jan","cpi_base_year","source","caveat"
"1995","aproximacion_pensiones_cofog_vejez_supervivientes","10.2 Vejez + 10.3 Supervivientes","39609","78431.52","19.505865","60.04912","1978.61","203062","65961","39639726","2024","Calculo propio a partir de IGAE COFOG S.13; IPC INE; poblacion INE","No equivale exactamente a pensiones presupuestarias: COFOG 10.2 y 10.3 aproximan vejez y supervivencia; otras pensiones, como incapacidad, pueden estar en 10.1."
"1996","aproximacion_pensiones_cofog_vejez_supervivientes","10.2 Vejez + 10.3 Supervivientes","42739","81716.374","20.392885","61.964827","2052.74","209578","68973","39808374","2024","Calculo propio a partir de IGAE COFOG S.13; IPC INE; poblacion INE","No equivale exactamente a pensiones presupuestarias: COFOG 10.2 y 10.3 aproximan vejez y supervivencia; otras pensiones, como incapacidad, pueden estar en 10.1."
"1997","aproximacion_pensiones_cofog_vejez_supervivientes","10.2 Vejez + 10.3 Supervivientes","44580","83587.217","20.706088","62.50964","2091.18","215299","71317","39971329","2024","Calculo propio a partir de IGAE COFOG S.13; IPC INE; poblacion INE","No equivale exactamente a pensiones presupuestarias: COFOG 10.2 y 10.3 aproximan vejez y supervivencia; otras pensiones, como incapacidad, pueden estar en 10.1."
"1998","aproximacion_pensiones_cofog_vejez_supervivientes","10.2 Vejez + 10.3 Supervivientes","46821","86203.063","20.571888","63.384686","2147.38","227597","73868","40143449","2024","Calculo propio a partir de IGAE COFOG S.13; IPC INE; poblacion INE","No equivale exactamente a pensiones presupuestarias: COFOG 10.2 y 10.3 aproximan vejez y supervivencia; otras pensiones, como incapacidad, pueden estar en 10.1."
"1999","aproximacion_pensiones_cofog_vejez_supervivientes","10.2 Vejez + 10.3 Supervivientes","49695","89443.022","20.899659","64.230322","2219.23","237779","77370","40303568","2024","Calculo propio a partir de IGAE COFOG S.13; IPC INE; poblacion INE","No equivale exactamente a pensiones presupuestarias: COFOG 10.2 y 10.3 aproximan vejez y supervivencia; otras pensiones, como incapacidad, pueden estar en 10.1."
"2000","aproximacion_pensiones_cofog_vejez_supervivientes","10.2 Vejez + 10.3 Supervivientes","53000","92214.647","20.926532","64.44004","2278.58","253267","82247","40470182","2024","Calculo propio a partir de IGAE COFOG S.13; IPC INE; poblacion INE","No equivale exactamente a pensiones presupuestarias: COFOG 10.2 y 10.3 aproximan vejez y supervivencia; otras pensiones, como incapacidad, pueden estar en 10.1."
"2001","aproximacion_pensiones_cofog_vejez_supervivientes","10.2 Vejez + 10.3 Supervivientes","55661","93484.017","20.676833","63.686812","2298.85","269195","87398","40665545","2024","Calculo propio a partir de IGAE COFOG S.13; IPC INE; poblacion INE","No equivale exactamente a pensiones presupuestarias: COFOG 10.2 y 10.3 aproximan vejez y supervivencia; otras pensiones, como incapacidad, pueden estar en 10.1."
"2002","aproximacion_pensiones_cofog_vejez_supervivientes","10.2 Vejez + 10.3 Supervivientes","59902","97178.624","20.689608","63.318676","2368.17","289527","94604","41035271","2024","Calculo propio a partir de IGAE COFOG S.13; IPC INE; poblacion INE","No equivale exactamente a pensiones presupuestarias: COFOG 10.2 y 10.3 aproximan vejez y supervivencia; otras pensiones, como incapacidad, pueden estar en 10.1."
"2003","aproximacion_pensiones_cofog_vejez_supervivientes","10.2 Vejez + 10.3 Supervivientes","63712","100310.975","20.699424","62.486637","2398.19","307796","101961","41827836","2024","Calculo propio a partir de IGAE COFOG S.13; IPC INE; poblacion INE","No equivale exactamente a pensiones presupuestarias: COFOG 10.2 y 10.3 aproximan vejez y supervivencia; otras pensiones, como incapacidad, pueden estar en 10.1."
"2004","aproximacion_pensiones_cofog_vejez_supervivientes","10.2 Vejez + 10.3 Supervivientes","68348","104435.789","20.483957","62.238654","2454.57","333666","109816","42547454","2024","Calculo propio a partir de IGAE COFOG S.13; IPC INE; poblacion INE","No equivale exactamente a pensiones presupuestarias: COFOG 10.2 y 10.3 aproximan vejez y supervivencia; otras pensiones, como incapacidad, pueden estar en 10.1."
"2005","aproximacion_pensiones_cofog_vejez_supervivientes","10.2 Vejez + 10.3 Supervivientes","73571","108753.38","20.620542","62.375793","2511.84","356785","117948","43296335","2024","Calculo propio a partir de IGAE COFOG S.13; IPC INE; poblacion INE","No equivale exactamente a pensiones presupuestarias: COFOG 10.2 y 10.3 aproximan vejez y supervivencia; otras pensiones, como incapacidad, pueden estar en 10.1."
