"year","cofog_code","cofog_name","nominal_million_eur","real_2024_million_eur","pct_total_public_spending","pct_social_protection","real_2024_eur_per_capita","total_public_spending_million_eur","social_protection_total_million_eur","cpi_annual_average_index","cpi_base_year","cpi_base_annual_average_index","population_1_jan","source","source_url"
"1995","10.1","Enfermedad e incapacidad","10097","19993.513","4.972373","15.30753","504.38","203062","65961","49.186534","2024","97.396417","39639726","IGAE COFOG Administraciones Publicas S.13","https://www.igae.pap.hacienda.gob.es/sitios/igae/es-ES/Contabilidad/ContabilidadNacional/Publicaciones/Documents/AAPP_A/COFOG_A_AAPP.xlsx"
"1995","10.2","Vejez","30416","60228.057","14.978676","46.112097","1519.39","203062","65961","49.186534","2024","97.396417","39639726","IGAE COFOG Administraciones Publicas S.13","https://www.igae.pap.hacienda.gob.es/sitios/igae/es-ES/Contabilidad/ContabilidadNacional/Publicaciones/Documents/AAPP_A/COFOG_A_AAPP.xlsx"
"1995","10.3","Supervivientes","9193","18203.463","4.527189","13.937023","459.22","203062","65961","49.186534","2024","97.396417","39639726","IGAE COFOG Administraciones Publicas S.13","https://www.igae.pap.hacienda.gob.es/sitios/igae/es-ES/Contabilidad/ContabilidadNacional/Publicaciones/Documents/AAPP_A/COFOG_A_AAPP.xlsx"
"1995","10.4","Familia e hijos","2052","4063.255","1.010529","3.110929","102.5","203062","65961","49.186534","2024","97.396417","39639726","IGAE COFOG Administraciones Publicas S.13","https://www.igae.pap.hacienda.gob.es/sitios/igae/es-ES/Contabilidad/ContabilidadNacional/Publicaciones/Documents/AAPP_A/COFOG_A_AAPP.xlsx"
"1995","10.5","Desempleo","11197","22171.671","5.514079","16.975182","559.33","203062","65961","49.186534","2024","97.396417","39639726","IGAE COFOG Administraciones Publicas S.13","https://www.igae.pap.hacienda.gob.es/sitios/igae/es-ES/Contabilidad/ContabilidadNacional/Publicaciones/Documents/AAPP_A/COFOG_A_AAPP.xlsx"
"1995","10.6","Vivienda","574","1136.603","0.282672","0.870211","28.67","203062","65961","49.186534","2024","97.396417","39639726","IGAE COFOG Administraciones Publicas S.13","https://www.igae.pap.hacienda.gob.es/sitios/igae/es-ES/Contabilidad/ContabilidadNacional/Publicaciones/Documents/AAPP_A/COFOG_A_AAPP.xlsx"
"1995","10.7","Exclusion social n.c.o.p.","1163","2302.907","0.572731","1.763163","58.1","203062","65961","49.186534","2024","97.396417","39639726","IGAE COFOG Administraciones Publicas S.13","https://www.igae.pap.hacienda.gob.es/sitios/igae/es-ES/Contabilidad/ContabilidadNacional/Publicaciones/Documents/AAPP_A/COFOG_A_AAPP.xlsx"
"1995","10.8","I+D proteccion social","0","0","0","0","0","203062","65961","49.186534","2024","97.396417","39639726","IGAE COFOG Administraciones Publicas S.13","https://www.igae.pap.hacienda.gob.es/sitios/igae/es-ES/Contabilidad/ContabilidadNacional/Publicaciones/Documents/AAPP_A/COFOG_A_AAPP.xlsx"
"1995","10.9","Proteccion social n.c.o.p.","1269","2512.803","0.624932","1.923864","63.39","203062","65961","49.186534","2024","97.396417","39639726","IGAE COFOG Administraciones Publicas S.13","https://www.igae.pap.hacienda.gob.es/sitios/igae/es-ES/Contabilidad/ContabilidadNacional/Publicaciones/Documents/AAPP_A/COFOG_A_AAPP.xlsx"
"1995","Total 10","Proteccion social total","65961","130612.273","32.483182","100","3294.98","203062","65961","49.186534","2024","97.396417","39639726","IGAE COFOG Administraciones Publicas S.13","https://www.igae.pap.hacienda.gob.es/sitios/igae/es-ES/Contabilidad/ContabilidadNacional/Publicaciones/Documents/AAPP_A/COFOG_A_AAPP.xlsx"
"1996","10.1","Enfermedad e incapacidad","10812","20672.394","5.158938","15.675699","519.3","209578","68973","50.939919","2024","97.396417","39808374","IGAE COFOG Administraciones Publicas S.13","https://www.igae.pap.hacienda.gob.es/sitios/igae/es-ES/Contabilidad/ContabilidadNacional/Publicaciones/Documents/AAPP_A/COFOG_A_AAPP.xlsx"
"1996","10.2","Vejez","32855","62818.303","15.676741","47.634582","1578.02","209578","68973","50.939919","2024","97.396417","39808374","IGAE COFOG Administraciones Publicas S.13","https://www.igae.pap.hacienda.gob.es/sitios/igae/es-ES/Contabilidad/ContabilidadNacional/Publicaciones/Documents/AAPP_A/COFOG_A_AAPP.xlsx"
"1996","10.3","Supervivientes","9884","18898.071","4.716144","14.330245","474.73","209578","68973","50.939919","2024","97.396417","39808374","IGAE COFOG Administraciones Publicas S.13","https://www.igae.pap.hacienda.gob.es/sitios/igae/es-ES/Contabilidad/ContabilidadNacional/Publicaciones/Documents/AAPP_A/COFOG_A_AAPP.xlsx"
"1996","10.4","Familia e hijos","2254","4309.617","1.075495","3.267945","108.26","209578","68973","50.939919","2024","97.396417","39808374","IGAE COFOG Administraciones Publicas S.13","https://www.igae.pap.hacienda.gob.es/sitios/igae/es-ES/Contabilidad/ContabilidadNacional/Publicaciones/Documents/AAPP_A/COFOG_A_AAPP.xlsx"
"1996","10.5","Desempleo","10397","19878.92","4.960921","15.074014","499.37","209578","68973","50.939919","2024","97.396417","39808374","IGAE COFOG Administraciones Publicas S.13","https://www.igae.pap.hacienda.gob.es/sitios/igae/es-ES/Contabilidad/ContabilidadNacional/Publicaciones/Documents/AAPP_A/COFOG_A_AAPP.xlsx"
"1996","10.6","Vivienda","364","695.963","0.173682","0.527743","17.48","209578","68973","50.939919","2024","97.396417","39808374","IGAE COFOG Administraciones Publicas S.13","https://www.igae.pap.hacienda.gob.es/sitios/igae/es-ES/Contabilidad/ContabilidadNacional/Publicaciones/Documents/AAPP_A/COFOG_A_AAPP.xlsx"
"1996","10.7","Exclusion social n.c.o.p.","1232","2355.567","0.587848","1.786206","59.17","209578","68973","50.939919","2024","97.396417","39808374","IGAE COFOG Administraciones Publicas S.13","https://www.igae.pap.hacienda.gob.es/sitios/igae/es-ES/Contabilidad/ContabilidadNacional/Publicaciones/Documents/AAPP_A/COFOG_A_AAPP.xlsx"
