"ano","pib_corriente_millones_eur","gasto_publico_total_millones_eur","gasto_publico_total_pct_pib","intereses_y_otras_rentas_propiedad_millones_eur","intereses_y_otras_rentas_propiedad_pct_pib","saldo_publico_millones_eur","saldo_publico_pct_pib","deuda_publica_millones_eur","deuda_publica_pct_pib","prestaciones_sociales_aapp_millones_eur","prestaciones_sociales_aapp_pct_pib","estado_dato","fuente","nota"
"1975","39900.497831","9029.793372","22.630779","170.668806","0.427736","-416.822329","-1.044654","4769.648927","11.953858","2127.563016","5.332172","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Serie anual de Administraciones Publicas en contabilidad nacional SEC 2010, enlazada hacia atras por BDMACRO."
"1976","48016.365611","11127.044944","23.173443","193.804166","0.403621","-615.929826","-1.28275","6136.575272","12.780174","2511.998606","5.231547","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Serie anual de Administraciones Publicas en contabilidad nacional SEC 2010, enlazada hacia atras por BDMACRO."
"1977","60925.288788","15492.263772","25.428298","281.803157","0.462539","-718.275576","-1.178945","8145.972025","13.370428","3766.772445","6.182609","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Serie anual de Administraciones Publicas en contabilidad nacional SEC 2010, enlazada hacia atras por BDMACRO."
"1978","74571.381955","20742.817905","27.816057","372.867309","0.500014","-2199.302826","-2.949259","11111.237969","14.900137","5382.279158","7.21762","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Serie anual de Administraciones Publicas en contabilidad nacional SEC 2010, enlazada hacia atras por BDMACRO."
"1979","87233.132444","26122.576419","29.945705","490.365776","0.562132","-2480.749582","-2.843816","14260.64171","16.347735","9524.647506","10.918612","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Serie anual de Administraciones Publicas en contabilidad nacional SEC 2010, enlazada hacia atras por BDMACRO."
"1980","100230.140421","33368.324258","33.291707","653.282127","0.651782","-4444.568654","-4.434363","18351.476677","18.309339","11716.045821","11.689144","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Serie anual de Administraciones Publicas en contabilidad nacional SEC 2010, enlazada hacia atras por BDMACRO."
"1981","112454.02062","41216.442489","36.651818","814.677918","0.724454","-7460.78396","-6.63452","25085.696034","22.307514","14440.878439","12.841585","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Serie anual de Administraciones Publicas en contabilidad nacional SEC 2010, enlazada hacia atras por BDMACRO."
"1982","129320.599276","52134.344236","40.314029","1144.669624","0.885141","-12697.738992","-9.818806","34218.197903","26.459975","16502.025411","12.760554","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Serie anual de Administraciones Publicas en contabilidad nacional SEC 2010, enlazada hacia atras por BDMACRO."
"1983","147258.489012","60588.000192","41.143978","1745.28506","1.185185","-10549.186831","-7.163721","46075.254719","31.288692","19416.158811","13.185086","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Serie anual de Administraciones Publicas en contabilidad nacional SEC 2010, enlazada hacia atras por BDMACRO."
"1984","166174.12095","70473.321073","42.409324","3061.104901","1.842107","-12984.415756","-7.813741","61352.130423","36.920388","21851.243494","13.149607","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Serie anual de Administraciones Publicas en contabilidad nacional SEC 2010, enlazada hacia atras por BDMACRO."
"1985","184645.037886","82913.568449","44.904304","5832.67222","3.158857","-17335.791473","-9.388712","75319.043015","40.791263","25027.442213","13.554354","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Serie anual de Administraciones Publicas en contabilidad nacional SEC 2010, enlazada hacia atras por BDMACRO."
"1986","211385.761449","95762.984867","45.302476","7683.765461","3.634949","-20686.373854","-9.786077","87672.155956","41.474958","27869.586383","13.184231","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Serie anual de Administraciones Publicas en contabilidad nacional SEC 2010, enlazada hacia atras por BDMACRO."
"1987","236377.062405","111828.597358","47.309412","7547.864604","3.193146","-25348.623081","-10.723808","96806.84431","40.954416","29938.041662","12.665375","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Serie anual de Administraciones Publicas en contabilidad nacional SEC 2010, enlazada hacia atras por BDMACRO."
"1988","263164.044739","125450.83721","47.670204","8068.49735","3.065957","-28993.599221","-11.01731","99769.731223","37.911612","33459.642037","12.714367","observado","IGAE/SEPG BDMACRO abril 2026, CUENTA DE LAS AAPP AGREGADAS","Serie anual de Administraciones Publicas en contabilidad nacional SEC 2010, enlazada hacia atras por BDMACRO."
