"ano","indicador","cofog_componentes","nominal_millones_eur","pct_gasto_publico_total","gasto_publico_total_millones_eur","fuente","nota"
"1995","gasto_publico_sanidad_cofog_07","07 Salud","24144","11.889965","203062","IGAE COFOG Administraciones Publicas S.13","Gasto publico funcional COFOG division 07 Salud; no equivale necesariamente al gasto sanitario total de todas las fuentes de financiacion."
"1996","gasto_publico_sanidad_cofog_07","07 Salud","25905","12.360553","209578","IGAE COFOG Administraciones Publicas S.13","Gasto publico funcional COFOG division 07 Salud; no equivale necesariamente al gasto sanitario total de todas las fuentes de financiacion."
"1997","gasto_publico_sanidad_cofog_07","07 Salud","26523","12.319147","215299","IGAE COFOG Administraciones Publicas S.13","Gasto publico funcional COFOG division 07 Salud; no equivale necesariamente al gasto sanitario total de todas las fuentes de financiacion."
"1998","gasto_publico_sanidad_cofog_07","07 Salud","28367","12.463697","227597","IGAE COFOG Administraciones Publicas S.13","Gasto publico funcional COFOG division 07 Salud; no equivale necesariamente al gasto sanitario total de todas las fuentes de financiacion."
"1999","gasto_publico_sanidad_cofog_07","07 Salud","30498","12.826196","237779","IGAE COFOG Administraciones Publicas S.13","Gasto publico funcional COFOG division 07 Salud; no equivale necesariamente al gasto sanitario total de todas las fuentes de financiacion."
"2000","gasto_publico_sanidad_cofog_07","07 Salud","33324","13.157656","253267","IGAE COFOG Administraciones Publicas S.13","Gasto publico funcional COFOG division 07 Salud; no equivale necesariamente al gasto sanitario total de todas las fuentes de financiacion."
"2001","gasto_publico_sanidad_cofog_07","07 Salud","35370","13.139174","269195","IGAE COFOG Administraciones Publicas S.13","Gasto publico funcional COFOG division 07 Salud; no equivale necesariamente al gasto sanitario total de todas las fuentes de financiacion."
"2002","gasto_publico_sanidad_cofog_07","07 Salud","38354","13.247124","289527","IGAE COFOG Administraciones Publicas S.13","Gasto publico funcional COFOG division 07 Salud; no equivale necesariamente al gasto sanitario total de todas las fuentes de financiacion."
"2003","gasto_publico_sanidad_cofog_07","07 Salud","41512","13.486855","307796","IGAE COFOG Administraciones Publicas S.13","Gasto publico funcional COFOG division 07 Salud; no equivale necesariamente al gasto sanitario total de todas las fuentes de financiacion."
"2004","gasto_publico_sanidad_cofog_07","07 Salud","46914","14.060168","333666","IGAE COFOG Administraciones Publicas S.13","Gasto publico funcional COFOG division 07 Salud; no equivale necesariamente al gasto sanitario total de todas las fuentes de financiacion."
"2005","gasto_publico_sanidad_cofog_07","07 Salud","52462","14.704094","356785","IGAE COFOG Administraciones Publicas S.13","Gasto publico funcional COFOG division 07 Salud; no equivale necesariamente al gasto sanitario total de todas las fuentes de financiacion."
"2006","gasto_publico_sanidad_cofog_07","07 Salud","56708","14.700446","385757","IGAE COFOG Administraciones Publicas S.13","Gasto publico funcional COFOG division 07 Salud; no equivale necesariamente al gasto sanitario total de todas las fuentes de financiacion."
"2007","gasto_publico_sanidad_cofog_07","07 Salud","61270","14.513317","422164","IGAE COFOG Administraciones Publicas S.13","Gasto publico funcional COFOG division 07 Salud; no equivale necesariamente al gasto sanitario total de todas las fuentes de financiacion."
"2008","gasto_publico_sanidad_cofog_07","07 Salud","67347","14.646606","459813","IGAE COFOG Administraciones Publicas S.13","Gasto publico funcional COFOG division 07 Salud; no equivale necesariamente al gasto sanitario total de todas las fuentes de financiacion."
"2009","gasto_publico_sanidad_cofog_07","07 Salud","72993","14.76536","494353","IGAE COFOG Administraciones Publicas S.13","Gasto publico funcional COFOG division 07 Salud; no equivale necesariamente al gasto sanitario total de todas las fuentes de financiacion."
"2010","gasto_publico_sanidad_cofog_07","07 Salud","71145","14.407159","493817","IGAE COFOG Administraciones Publicas S.13","Gasto publico funcional COFOG division 07 Salud; no equivale necesariamente al gasto sanitario total de todas las fuentes de financiacion."
"2011","gasto_publico_sanidad_cofog_07","07 Salud","69312","14.119142","490908","IGAE COFOG Administraciones Publicas S.13","Gasto publico funcional COFOG division 07 Salud; no equivale necesariamente al gasto sanitario total de todas las fuentes de financiacion."
"2012","gasto_publico_sanidad_cofog_07","07 Salud","64721","12.691985","509936","IGAE COFOG Administraciones Publicas S.13","Gasto publico funcional COFOG division 07 Salud; no equivale necesariamente al gasto sanitario total de todas las fuentes de financiacion."
"2013","gasto_publico_sanidad_cofog_07","07 Salud","63338","13.37944","473398","IGAE COFOG Administraciones Publicas S.13","Gasto publico funcional COFOG division 07 Salud; no equivale necesariamente al gasto sanitario total de todas las fuentes de financiacion."
"2014","gasto_publico_sanidad_cofog_07","07 Salud","63499","13.572774","467841","IGAE COFOG Administraciones Publicas S.13","Gasto publico funcional COFOG division 07 Salud; no equivale necesariamente al gasto sanitario total de todas las fuentes de financiacion."
"2015","gasto_publico_sanidad_cofog_07","07 Salud","66484","13.999785","474893","IGAE COFOG Administraciones Publicas S.13","Gasto publico funcional COFOG division 07 Salud; no equivale necesariamente al gasto sanitario total de todas las fuentes de financiacion."
"2016","gasto_publico_sanidad_cofog_07","07 Salud","67713","14.324215","472717","IGAE COFOG Administraciones Publicas S.13","Gasto publico funcional COFOG division 07 Salud; no equivale necesariamente al gasto sanitario total de todas las fuentes de financiacion."
"2017","gasto_publico_sanidad_cofog_07","07 Salud","69298","14.439851","479908","IGAE COFOG Administraciones Publicas S.13","Gasto publico funcional COFOG division 07 Salud; no equivale necesariamente al gasto sanitario total de todas las fuentes de financiacion."
"2018","gasto_publico_sanidad_cofog_07","07 Salud","72146","14.33764","503193","IGAE COFOG Administraciones Publicas S.13","Gasto publico funcional COFOG division 07 Salud; no equivale necesariamente al gasto sanitario total de todas las fuentes de financiacion."
"2019","gasto_publico_sanidad_cofog_07","07 Salud","75917","14.41182","526769","IGAE COFOG Administraciones Publicas S.13","Gasto publico funcional COFOG division 07 Salud; no equivale necesariamente al gasto sanitario total de todas las fuentes de financiacion."
"2020","gasto_publico_sanidad_cofog_07","07 Salud","85545","14.744969","580164","IGAE COFOG Administraciones Publicas S.13","Gasto publico funcional COFOG division 07 Salud; no equivale necesariamente al gasto sanitario total de todas las fuentes de financiacion."
"2021","gasto_publico_sanidad_cofog_07","07 Salud","88541","14.488222","611124","IGAE COFOG Administraciones Publicas S.13","Gasto publico funcional COFOG division 07 Salud; no equivale necesariamente al gasto sanitario total de todas las fuentes de financiacion."
"2022","gasto_publico_sanidad_cofog_07","07 Salud","93327","14.64833","637117","IGAE COFOG Administraciones Publicas S.13","Gasto publico funcional COFOG division 07 Salud; no equivale necesariamente al gasto sanitario total de todas las fuentes de financiacion."
"2023","gasto_publico_sanidad_cofog_07","07 Salud","98630","14.499614","680225","IGAE COFOG Administraciones Publicas S.13","Gasto publico funcional COFOG division 07 Salud; no equivale necesariamente al gasto sanitario total de todas las fuentes de financiacion."
"2024","gasto_publico_sanidad_cofog_07","07 Salud","102942","14.198877","725001","IGAE COFOG Administraciones Publicas S.13","Gasto publico funcional COFOG division 07 Salud; no equivale necesariamente al gasto sanitario total de todas las fuentes de financiacion."
