"fecha","anio","periodo_ine","ambito_geografico","sexo","edad","edad_num","edad_grupo_abierto","poblacion","naturaleza_dato","concepto","tipo_dato","fuente","url"
"1975-01-01","1975","1 de enero de","Total Nacional","Hombres","0 años","0","False","348934","Definitivo","Población","Número","INE, Estadistica Continua de Poblacion, tabla 56934","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56934?tip=AM"
"1975-01-01","1975","1 de enero de","Total Nacional","Hombres","1 año","1","False","338580","Definitivo","Población","Número","INE, Estadistica Continua de Poblacion, tabla 56934","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56934?tip=AM"
"1975-01-01","1975","1 de enero de","Total Nacional","Hombres","2 años","2","False","338410","Definitivo","Población","Número","INE, Estadistica Continua de Poblacion, tabla 56934","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56934?tip=AM"
"1975-01-01","1975","1 de enero de","Total Nacional","Hombres","3 años","3","False","336963","Definitivo","Población","Número","INE, Estadistica Continua de Poblacion, tabla 56934","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56934?tip=AM"
"1975-01-01","1975","1 de enero de","Total Nacional","Hombres","4 años","4","False","331441","Definitivo","Población","Número","INE, Estadistica Continua de Poblacion, tabla 56934","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56934?tip=AM"
"1975-01-01","1975","1 de enero de","Total Nacional","Hombres","5 años","5","False","326958","Definitivo","Población","Número","INE, Estadistica Continua de Poblacion, tabla 56934","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56934?tip=AM"
"1975-01-01","1975","1 de enero de","Total Nacional","Hombres","6 años","6","False","328987","Definitivo","Población","Número","INE, Estadistica Continua de Poblacion, tabla 56934","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56934?tip=AM"
"1975-01-01","1975","1 de enero de","Total Nacional","Hombres","7 años","7","False","336893","Definitivo","Población","Número","INE, Estadistica Continua de Poblacion, tabla 56934","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56934?tip=AM"
"1975-01-01","1975","1 de enero de","Total Nacional","Hombres","8 años","8","False","336656","Definitivo","Población","Número","INE, Estadistica Continua de Poblacion, tabla 56934","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56934?tip=AM"
"1975-01-01","1975","1 de enero de","Total Nacional","Hombres","9 años","9","False","338317","Definitivo","Población","Número","INE, Estadistica Continua de Poblacion, tabla 56934","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56934?tip=AM"
"1975-01-01","1975","1 de enero de","Total Nacional","Hombres","10 años","10","False","345581","Definitivo","Población","Número","INE, Estadistica Continua de Poblacion, tabla 56934","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56934?tip=AM"
"1975-01-01","1975","1 de enero de","Total Nacional","Hombres","11 años","11","False","331748","Definitivo","Población","Número","INE, Estadistica Continua de Poblacion, tabla 56934","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56934?tip=AM"
"1975-01-01","1975","1 de enero de","Total Nacional","Hombres","12 años","12","False","323486","Definitivo","Población","Número","INE, Estadistica Continua de Poblacion, tabla 56934","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56934?tip=AM"
"1975-01-01","1975","1 de enero de","Total Nacional","Hombres","13 años","13","False","316149","Definitivo","Población","Número","INE, Estadistica Continua de Poblacion, tabla 56934","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56934?tip=AM"
