"periodo","fecha","inflacion_interanual_pct","ambito","fuente","url_fuente"
"1962M01","1962-01-01","0.4","Índice general","INE IPC tabla 76134","https://www.ine.es/jaxiT3/files/t/csv_bdsc/76134.csv"
"1962M02","1962-02-01","1.6","Índice general","INE IPC tabla 76134","https://www.ine.es/jaxiT3/files/t/csv_bdsc/76134.csv"
"1962M03","1962-03-01","3.0","Índice general","INE IPC tabla 76134","https://www.ine.es/jaxiT3/files/t/csv_bdsc/76134.csv"
"1962M04","1962-04-01","4.2","Índice general","INE IPC tabla 76134","https://www.ine.es/jaxiT3/files/t/csv_bdsc/76134.csv"
"1962M05","1962-05-01","5.8","Índice general","INE IPC tabla 76134","https://www.ine.es/jaxiT3/files/t/csv_bdsc/76134.csv"
"1962M06","1962-06-01","6.9","Índice general","INE IPC tabla 76134","https://www.ine.es/jaxiT3/files/t/csv_bdsc/76134.csv"
"1962M07","1962-07-01","6.9","Índice general","INE IPC tabla 76134","https://www.ine.es/jaxiT3/files/t/csv_bdsc/76134.csv"
"1962M08","1962-08-01","6.5","Índice general","INE IPC tabla 76134","https://www.ine.es/jaxiT3/files/t/csv_bdsc/76134.csv"
"1962M09","1962-09-01","7.0","Índice general","INE IPC tabla 76134","https://www.ine.es/jaxiT3/files/t/csv_bdsc/76134.csv"
"1962M10","1962-10-01","7.6","Índice general","INE IPC tabla 76134","https://www.ine.es/jaxiT3/files/t/csv_bdsc/76134.csv"
"1962M11","1962-11-01","8.7","Índice general","INE IPC tabla 76134","https://www.ine.es/jaxiT3/files/t/csv_bdsc/76134.csv"
"1962M12","1962-12-01","9.9","Índice general","INE IPC tabla 76134","https://www.ine.es/jaxiT3/files/t/csv_bdsc/76134.csv"
"1963M01","1963-01-01","10.4","Índice general","INE IPC tabla 76134","https://www.ine.es/jaxiT3/files/t/csv_bdsc/76134.csv"
"1963M02","1963-02-01","10.7","Índice general","INE IPC tabla 76134","https://www.ine.es/jaxiT3/files/t/csv_bdsc/76134.csv"
"1963M03","1963-03-01","11.9","Índice general","INE IPC tabla 76134","https://www.ine.es/jaxiT3/files/t/csv_bdsc/76134.csv"
"1963M04","1963-04-01","10.3","Índice general","INE IPC tabla 76134","https://www.ine.es/jaxiT3/files/t/csv_bdsc/76134.csv"
