"anio","ambito_geografico","sexo","edad","esperanza_vida_nacimiento_anios","naturaleza","escenario","tipo_dato_ine","fuente"
"2024","Total Nacional","Hombres","0 anos","80.744567","proyeccion","Hipotesis nacional de evolucion demografica","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775"
"2024","Total Nacional","Mujeres","0 anos","86.202529","proyeccion","Hipotesis nacional de evolucion demografica","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775"
"2025","Total Nacional","Hombres","0 anos","80.913439","proyeccion","Hipotesis nacional de evolucion demografica","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775"
"2025","Total Nacional","Mujeres","0 anos","86.31822","proyeccion","Hipotesis nacional de evolucion demografica","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775"
"2026","Total Nacional","Hombres","0 anos","81.080162","proyeccion","Hipotesis nacional de evolucion demografica","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775"
"2026","Total Nacional","Mujeres","0 anos","86.432914","proyeccion","Hipotesis nacional de evolucion demografica","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775"
"2027","Total Nacional","Hombres","0 anos","81.244665","proyeccion","Hipotesis nacional de evolucion demografica","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775"
"2027","Total Nacional","Mujeres","0 anos","86.546594","proyeccion","Hipotesis nacional de evolucion demografica","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775"
"2028","Total Nacional","Hombres","0 anos","81.406887","proyeccion","Hipotesis nacional de evolucion demografica","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775"
"2028","Total Nacional","Mujeres","0 anos","86.659243","proyeccion","Hipotesis nacional de evolucion demografica","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775"
"2029","Total Nacional","Hombres","0 anos","81.56677","proyeccion","Hipotesis nacional de evolucion demografica","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775"
"2029","Total Nacional","Mujeres","0 anos","86.770847","proyeccion","Hipotesis nacional de evolucion demografica","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775"
"2030","Total Nacional","Hombres","0 anos","81.724264","proyeccion","Hipotesis nacional de evolucion demografica","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775"
"2030","Total Nacional","Mujeres","0 anos","86.881393","proyeccion","Hipotesis nacional de evolucion demografica","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775"
"2031","Total Nacional","Hombres","0 anos","81.879321","proyeccion","Hipotesis nacional de evolucion demografica","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775"
"2031","Total Nacional","Mujeres","0 anos","86.990866","proyeccion","Hipotesis nacional de evolucion demografica","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775"
"2032","Total Nacional","Hombres","0 anos","82.031903","proyeccion","Hipotesis nacional de evolucion demografica","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775"
"2032","Total Nacional","Mujeres","0 anos","87.099255","proyeccion","Hipotesis nacional de evolucion demografica","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775"
