fecha,anio,periodo_ine,ambito_geografico,sexo,grupo_edad,edad_desde,edad_hasta,edad_grupo_abierto,lugar_nacimiento,lugar_nacimiento_categoria,poblacion,naturaleza_dato,concepto,tipo_dato,fuente,url
2002-01-01,2002,1 de enero de,Total Nacional,Hombres,Todas las edades,,,False,España,nacido_en_espana,18929969,Definitivo,Población,Número,"INE, Estadistica Continua de Poblacion, tabla 56937",https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56937?tip=AM
2002-01-01,2002,1 de enero de,Total Nacional,Hombres,De 0 a 4 años,0,4,False,España,nacido_en_espana,966639,Definitivo,Población,Número,"INE, Estadistica Continua de Poblacion, tabla 56937",https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56937?tip=AM
2002-01-01,2002,1 de enero de,Total Nacional,Hombres,Todas las edades,,,False,Extranjero,nacido_en_extranjero,1185553,Definitivo,Población,Número,"INE, Estadistica Continua de Poblacion, tabla 56937",https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56937?tip=AM
2002-01-01,2002,1 de enero de,Total Nacional,Hombres,De 0 a 4 años,0,4,False,Extranjero,nacido_en_extranjero,28234,Definitivo,Población,Número,"INE, Estadistica Continua de Poblacion, tabla 56937",https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56937?tip=AM
2002-01-01,2002,1 de enero de,Total Nacional,Hombres,Todas las edades,,,False,Total,total,20115522,Definitivo,Población,Número,"INE, Estadistica Continua de Poblacion, tabla 56937",https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56937?tip=AM
2002-01-01,2002,1 de enero de,Total Nacional,Hombres,De 0 a 4 años,0,4,False,Total,total,994873,Definitivo,Población,Número,"INE, Estadistica Continua de Poblacion, tabla 56937",https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56937?tip=AM
2002-01-01,2002,1 de enero de,Total Nacional,Hombres,De 5 a 9 años,5,9,False,España,nacido_en_espana,934243,Definitivo,Población,Número,"INE, Estadistica Continua de Poblacion, tabla 56937",https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56937?tip=AM
2002-01-01,2002,1 de enero de,Total Nacional,Hombres,De 5 a 9 años,5,9,False,Extranjero,nacido_en_extranjero,46330,Definitivo,Población,Número,"INE, Estadistica Continua de Poblacion, tabla 56937",https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56937?tip=AM
2002-01-01,2002,1 de enero de,Total Nacional,Hombres,De 5 a 9 años,5,9,False,Total,total,980573,Definitivo,Población,Número,"INE, Estadistica Continua de Poblacion, tabla 56937",https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56937?tip=AM
2002-01-01,2002,1 de enero de,Total Nacional,Hombres,De 10 a 14 años,10,14,False,España,nacido_en_espana,1028467,Definitivo,Población,Número,"INE, Estadistica Continua de Poblacion, tabla 56937",https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56937?tip=AM
2002-01-01,2002,1 de enero de,Total Nacional,Hombres,De 10 a 14 años,10,14,False,Extranjero,nacido_en_extranjero,52896,Definitivo,Población,Número,"INE, Estadistica Continua de Poblacion, tabla 56937",https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56937?tip=AM
2002-01-01,2002,1 de enero de,Total Nacional,Hombres,De 10 a 14 años,10,14,False,Total,total,1081364,Definitivo,Población,Número,"INE, Estadistica Continua de Poblacion, tabla 56937",https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56937?tip=AM
2002-01-01,2002,1 de enero de,Total Nacional,Hombres,De 15 a 19 años,15,19,False,España,nacido_en_espana,1199633,Definitivo,Población,Número,"INE, Estadistica Continua de Poblacion, tabla 56937",https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56937?tip=AM
2002-01-01,2002,1 de enero de,Total Nacional,Hombres,De 15 a 19 años,15,19,False,Extranjero,nacido_en_extranjero,62276,Definitivo,Población,Número,"INE, Estadistica Continua de Poblacion, tabla 56937",https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56937?tip=AM
2002-01-01,2002,1 de enero de,Total Nacional,Hombres,De 15 a 19 años,15,19,False,Total,total,1261909,Definitivo,Población,Número,"INE, Estadistica Continua de Poblacion, tabla 56937",https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56937?tip=AM
2002-01-01,2002,1 de enero de,Total Nacional,Hombres,De 20 a 24 años,20,24,False,España,nacido_en_espana,1511390,Definitivo,Población,Número,"INE, Estadistica Continua de Poblacion, tabla 56937",https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56937?tip=AM
2002-01-01,2002,1 de enero de,Total Nacional,Hombres,De 20 a 24 años,20,24,False,Extranjero,nacido_en_extranjero,121784,Definitivo,Población,Número,"INE, Estadistica Continua de Poblacion, tabla 56937",https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56937?tip=AM
2002-01-01,2002,1 de enero de,Total Nacional,Hombres,De 20 a 24 años,20,24,False,Total,total,1633173,Definitivo,Población,Número,"INE, Estadistica Continua de Poblacion, tabla 56937",https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56937?tip=AM
2002-01-01,2002,1 de enero de,Total Nacional,Hombres,De 25 a 29 años,25,29,False,España,nacido_en_espana,1630285,Definitivo,Población,Número,"INE, Estadistica Continua de Poblacion, tabla 56937",https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56937?tip=AM
2002-01-01,2002,1 de enero de,Total Nacional,Hombres,De 25 a 29 años,25,29,False,Extranjero,nacido_en_extranjero,175679,Definitivo,Población,Número,"INE, Estadistica Continua de Poblacion, tabla 56937",https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56937?tip=AM
2002-01-01,2002,1 de enero de,Total Nacional,Hombres,De 25 a 29 años,25,29,False,Total,total,1805964,Definitivo,Población,Número,"INE, Estadistica Continua de Poblacion, tabla 56937",https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56937?tip=AM
2002-01-01,2002,1 de enero de,Total Nacional,Hombres,De 30 a 34 años,30,34,False,España,nacido_en_espana,1548871,Definitivo,Población,Número,"INE, Estadistica Continua de Poblacion, tabla 56937",https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56937?tip=AM
2002-01-01,2002,1 de enero de,Total Nacional,Hombres,De 30 a 34 años,30,34,False,Extranjero,nacido_en_extranjero,182592,Definitivo,Población,Número,"INE, Estadistica Continua de Poblacion, tabla 56937",https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56937?tip=AM
2002-01-01,2002,1 de enero de,Total Nacional,Hombres,De 30 a 34 años,30,34,False,Total,total,1731464,Definitivo,Población,Número,"INE, Estadistica Continua de Poblacion, tabla 56937",https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56937?tip=AM
2002-01-01,2002,1 de enero de,Total Nacional,Hombres,De 35 a 39 años,35,39,False,España,nacido_en_espana,1513788,Definitivo,Población,Número,"INE, Estadistica Continua de Poblacion, tabla 56937",https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56937?tip=AM
2002-01-01,2002,1 de enero de,Total Nacional,Hombres,De 35 a 39 años,35,39,False,Extranjero,nacido_en_extranjero,155067,Definitivo,Población,Número,"INE, Estadistica Continua de Poblacion, tabla 56937",https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56937?tip=AM
2002-01-01,2002,1 de enero de,Total Nacional,Hombres,De 35 a 39 años,35,39,False,Total,total,1668855,Definitivo,Población,Número,"INE, Estadistica Continua de Poblacion, tabla 56937",https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56937?tip=AM
2002-01-01,2002,1 de enero de,Total Nacional,Hombres,De 40 a 44 años,40,44,False,España,nacido_en_espana,1422602,Definitivo,Población,Número,"INE, Estadistica Continua de Poblacion, tabla 56937",https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56937?tip=AM
2002-01-01,2002,1 de enero de,Total Nacional,Hombres,De 40 a 44 años,40,44,False,Extranjero,nacido_en_extranjero,102089,Definitivo,Población,Número,"INE, Estadistica Continua de Poblacion, tabla 56937",https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56937?tip=AM
2002-01-01,2002,1 de enero de,Total Nacional,Hombres,De 40 a 44 años,40,44,False,Total,total,1524691,Definitivo,Población,Número,"INE, Estadistica Continua de Poblacion, tabla 56937",https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56937?tip=AM
2002-01-01,2002,1 de enero de,Total Nacional,Hombres,De 45 a 49 años,45,49,False,España,nacido_en_espana,1241520,Definitivo,Población,Número,"INE, Estadistica Continua de Poblacion, tabla 56937",https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56937?tip=AM
2002-01-01,2002,1 de enero de,Total Nacional,Hombres,De 45 a 49 años,45,49,False,Extranjero,nacido_en_extranjero,68840,Definitivo,Población,Número,"INE, Estadistica Continua de Poblacion, tabla 56937",https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56937?tip=AM
2002-01-01,2002,1 de enero de,Total Nacional,Hombres,De 45 a 49 años,45,49,False,Total,total,1310360,Definitivo,Población,Número,"INE, Estadistica Continua de Poblacion, tabla 56937",https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56937?tip=AM
