"anio","ambito_geografico","sexo","indicador","estado_dato","tipo_dato_ine","fuente","url_api","esperanza_vida_nacimiento_anios"
"1975","Total Nacional","Hombres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","70.53"
"1975","Total Nacional","Mujeres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","76.25"
"1976","Total Nacional","Hombres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","70.81"
"1976","Total Nacional","Mujeres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","76.61"
"1977","Total Nacional","Hombres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","71.27"
"1977","Total Nacional","Mujeres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","77.12"
"1978","Total Nacional","Hombres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","71.41"
"1978","Total Nacional","Mujeres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","77.37"
"1979","Total Nacional","Hombres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","71.81"
"1979","Total Nacional","Mujeres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","77.91"
"1980","Total Nacional","Hombres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","72.36"
"1980","Total Nacional","Mujeres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","78.41"
"1981","Total Nacional","Hombres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","72.51"
"1981","Total Nacional","Mujeres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","78.63"
"1982","Total Nacional","Hombres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","73.15"
"1982","Total Nacional","Mujeres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","79.19"
"1983","Total Nacional","Hombres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","72.94"
"1983","Total Nacional","Mujeres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","79.0"
"1984","Total Nacional","Hombres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","73.18"
"1984","Total Nacional","Mujeres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","79.51"
"1985","Total Nacional","Hombres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","73.08"
"1985","Total Nacional","Mujeres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","79.54"
"1986","Total Nacional","Hombres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","73.4"
"1986","Total Nacional","Mujeres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","79.75"
"1987","Total Nacional","Hombres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","73.55"
"1987","Total Nacional","Mujeres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","80.07"
"1988","Total Nacional","Hombres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","73.52"
"1988","Total Nacional","Mujeres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","80.15"
"1989","Total Nacional","Hombres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","73.42"
