"anio","ambito_geografico","indicador","estado_dato","tipo_dato_ine","fuente","url_api","nacionalidad","orden_nacimiento","indicador_coyuntural_fecundidad_hijos_por_mujer"
"1975","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","2.77"
"1976","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","2.77"
"1977","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","2.65"
"1978","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","2.54"
"1979","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","2.37"
"1980","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","2.21"
"1981","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","2.04"
"1982","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","1.94"
"1983","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","1.8"
"1984","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","1.72"
"1985","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","1.64"
"1986","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","1.55"
"1987","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","1.49"
"1988","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","1.45"
"1989","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","1.4"
"1990","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","1.36"
"1991","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","1.33"
"1992","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","1.31"
"1993","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","1.26"
"1994","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","1.19"
"1995","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","1.16"
"1996","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","1.14"
"1997","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","1.15"
"1998","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","1.13"
"1999","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","1.16"
"2000","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","1.21"
"2001","Total Nacional","Indicador Coyuntural de Fecundidad","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1407","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1407?tip=AM","Ambas nacionalidades","Todos","1.24"
