"anio","ambito_geografico","indicador","estado_dato","tipo_dato_ine","fuente","url_api","defunciones_personas","sexo"
"1975","Total Nacional","Numero de defunciones","observado","Definitivo","INE - MNP Estadistica de Defunciones, tabla API 6545","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6545?tip=AM","298192.0","Total"
"1976","Total Nacional","Numero de defunciones","observado","Definitivo","INE - MNP Estadistica de Defunciones, tabla API 6545","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6545?tip=AM","299007.0","Total"
"1977","Total Nacional","Numero de defunciones","observado","Definitivo","INE - MNP Estadistica de Defunciones, tabla API 6545","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6545?tip=AM","294324.0","Total"
"1978","Total Nacional","Numero de defunciones","observado","Definitivo","INE - MNP Estadistica de Defunciones, tabla API 6545","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6545?tip=AM","296781.0","Total"
"1979","Total Nacional","Numero de defunciones","observado","Definitivo","INE - MNP Estadistica de Defunciones, tabla API 6545","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6545?tip=AM","291213.0","Total"
"1980","Total Nacional","Numero de defunciones","observado","Definitivo","INE - MNP Estadistica de Defunciones, tabla API 6545","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6545?tip=AM","289344.0","Total"
"1981","Total Nacional","Numero de defunciones","observado","Definitivo","INE - MNP Estadistica de Defunciones, tabla API 6545","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6545?tip=AM","293386.0","Total"
"1982","Total Nacional","Numero de defunciones","observado","Definitivo","INE - MNP Estadistica de Defunciones, tabla API 6545","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6545?tip=AM","286655.0","Total"
"1983","Total Nacional","Numero de defunciones","observado","Definitivo","INE - MNP Estadistica de Defunciones, tabla API 6545","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6545?tip=AM","302569.0","Total"
"1984","Total Nacional","Numero de defunciones","observado","Definitivo","INE - MNP Estadistica de Defunciones, tabla API 6545","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6545?tip=AM","299409.0","Total"
"1985","Total Nacional","Numero de defunciones","observado","Definitivo","INE - MNP Estadistica de Defunciones, tabla API 6545","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6545?tip=AM","312532.0","Total"
"1986","Total Nacional","Numero de defunciones","observado","Definitivo","INE - MNP Estadistica de Defunciones, tabla API 6545","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6545?tip=AM","310413.0","Total"
"1987","Total Nacional","Numero de defunciones","observado","Definitivo","INE - MNP Estadistica de Defunciones, tabla API 6545","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6545?tip=AM","310073.0","Total"
"1988","Total Nacional","Numero de defunciones","observado","Definitivo","INE - MNP Estadistica de Defunciones, tabla API 6545","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6545?tip=AM","319437.0","Total"
"1989","Total Nacional","Numero de defunciones","observado","Definitivo","INE - MNP Estadistica de Defunciones, tabla API 6545","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6545?tip=AM","324796.0","Total"
"1990","Total Nacional","Numero de defunciones","observado","Definitivo","INE - MNP Estadistica de Defunciones, tabla API 6545","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6545?tip=AM","333142.0","Total"
"1991","Total Nacional","Numero de defunciones","observado","Definitivo","INE - MNP Estadistica de Defunciones, tabla API 6545","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6545?tip=AM","337691.0","Total"
"1992","Total Nacional","Numero de defunciones","observado","Definitivo","INE - MNP Estadistica de Defunciones, tabla API 6545","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6545?tip=AM","331515.0","Total"
"1993","Total Nacional","Numero de defunciones","observado","Definitivo","INE - MNP Estadistica de Defunciones, tabla API 6545","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6545?tip=AM","339661.0","Total"
"1994","Total Nacional","Numero de defunciones","observado","Definitivo","INE - MNP Estadistica de Defunciones, tabla API 6545","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6545?tip=AM","338242.0","Total"
"1995","Total Nacional","Numero de defunciones","observado","Definitivo","INE - MNP Estadistica de Defunciones, tabla API 6545","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6545?tip=AM","346227.0","Total"
"1996","Total Nacional","Numero de defunciones","observado","Definitivo","INE - MNP Estadistica de Defunciones, tabla API 6545","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6545?tip=AM","351449.0","Total"
"1997","Total Nacional","Numero de defunciones","observado","Definitivo","INE - MNP Estadistica de Defunciones, tabla API 6545","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6545?tip=AM","349521.0","Total"
"1998","Total Nacional","Numero de defunciones","observado","Definitivo","INE - MNP Estadistica de Defunciones, tabla API 6545","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6545?tip=AM","360511.0","Total"
"1999","Total Nacional","Numero de defunciones","observado","Definitivo","INE - MNP Estadistica de Defunciones, tabla API 6545","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6545?tip=AM","371102.0","Total"
"2000","Total Nacional","Numero de defunciones","observado","Definitivo","INE - MNP Estadistica de Defunciones, tabla API 6545","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6545?tip=AM","360391.0","Total"
