"anio","ambito_geografico","indicador","estado_dato","tipo_dato_ine","fuente","url_api","nacimientos_personas","sexo"
"1975","Total Nacional","Numero de nacimientos","observado","Definitivo","INE - MNP Estadistica de Nacimientos, tabla API 6506","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6506?tip=AM","669378.0","Total"
"1976","Total Nacional","Numero de nacimientos","observado","Definitivo","INE - MNP Estadistica de Nacimientos, tabla API 6506","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6506?tip=AM","677456.0","Total"
"1977","Total Nacional","Numero de nacimientos","observado","Definitivo","INE - MNP Estadistica de Nacimientos, tabla API 6506","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6506?tip=AM","656357.0","Total"
"1978","Total Nacional","Numero de nacimientos","observado","Definitivo","INE - MNP Estadistica de Nacimientos, tabla API 6506","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6506?tip=AM","636892.0","Total"
"1979","Total Nacional","Numero de nacimientos","observado","Definitivo","INE - MNP Estadistica de Nacimientos, tabla API 6506","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6506?tip=AM","601992.0","Total"
"1980","Total Nacional","Numero de nacimientos","observado","Definitivo","INE - MNP Estadistica de Nacimientos, tabla API 6506","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6506?tip=AM","571018.0","Total"
"1981","Total Nacional","Numero de nacimientos","observado","Definitivo","INE - MNP Estadistica de Nacimientos, tabla API 6506","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6506?tip=AM","533008.0","Total"
"1982","Total Nacional","Numero de nacimientos","observado","Definitivo","INE - MNP Estadistica de Nacimientos, tabla API 6506","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6506?tip=AM","515706.0","Total"
"1983","Total Nacional","Numero de nacimientos","observado","Definitivo","INE - MNP Estadistica de Nacimientos, tabla API 6506","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6506?tip=AM","485352.0","Total"
"1984","Total Nacional","Numero de nacimientos","observado","Definitivo","INE - MNP Estadistica de Nacimientos, tabla API 6506","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6506?tip=AM","473281.0","Total"
"1985","Total Nacional","Numero de nacimientos","observado","Definitivo","INE - MNP Estadistica de Nacimientos, tabla API 6506","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/6506?tip=AM","456298.0","Total"
