"anio","ambito_geografico","indicador","estado_dato","tipo_dato_ine","fuente","url_api","edad_media_maternidad_anios","orden_nacimiento"
"2025","Total Nacional","Edad media a la maternidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36656","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36656?tip=AM","32.580196","Todos"
"2026","Total Nacional","Edad media a la maternidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36656","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36656?tip=AM","32.549226","Todos"
"2027","Total Nacional","Edad media a la maternidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36656","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36656?tip=AM","32.524649","Todos"
"2028","Total Nacional","Edad media a la maternidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36656","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36656?tip=AM","32.504321","Todos"
"2029","Total Nacional","Edad media a la maternidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36656","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36656?tip=AM","32.4862","Todos"
"2030","Total Nacional","Edad media a la maternidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36656","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36656?tip=AM","32.469136","Todos"
"2031","Total Nacional","Edad media a la maternidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36656","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36656?tip=AM","32.4521","Todos"
"2032","Total Nacional","Edad media a la maternidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36656","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36656?tip=AM","32.434325","Todos"
"2033","Total Nacional","Edad media a la maternidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36656","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36656?tip=AM","32.415302","Todos"
"2034","Total Nacional","Edad media a la maternidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36656","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36656?tip=AM","32.395485","Todos"
"2035","Total Nacional","Edad media a la maternidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36656","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36656?tip=AM","32.375542","Todos"
"2036","Total Nacional","Edad media a la maternidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36656","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36656?tip=AM","32.355783","Todos"
"2037","Total Nacional","Edad media a la maternidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36656","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36656?tip=AM","32.336327","Todos"
"2038","Total Nacional","Edad media a la maternidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36656","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36656?tip=AM","32.317203","Todos"
"2039","Total Nacional","Edad media a la maternidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36656","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36656?tip=AM","32.309695","Todos"
"2040","Total Nacional","Edad media a la maternidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36656","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36656?tip=AM","32.302399","Todos"
"2041","Total Nacional","Edad media a la maternidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36656","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36656?tip=AM","32.29597","Todos"
"2042","Total Nacional","Edad media a la maternidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36656","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36656?tip=AM","32.290305","Todos"
"2043","Total Nacional","Edad media a la maternidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36656","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36656?tip=AM","32.285364","Todos"
"2044","Total Nacional","Edad media a la maternidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36656","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36656?tip=AM","32.281286","Todos"
"2045","Total Nacional","Edad media a la maternidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36656","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36656?tip=AM","32.278098","Todos"
"2046","Total Nacional","Edad media a la maternidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36656","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36656?tip=AM","32.276415","Todos"
"2047","Total Nacional","Edad media a la maternidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36656","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36656?tip=AM","32.276525","Todos"
"2048","Total Nacional","Edad media a la maternidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36656","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36656?tip=AM","32.278261","Todos"
"2049","Total Nacional","Edad media a la maternidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36656","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36656?tip=AM","32.281416","Todos"
"2050","Total Nacional","Edad media a la maternidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36656","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36656?tip=AM","32.285839","Todos"
"2051","Total Nacional","Edad media a la maternidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36656","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36656?tip=AM","32.291101","Todos"
"2052","Total Nacional","Edad media a la maternidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36656","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36656?tip=AM","32.296475","Todos"
"2053","Total Nacional","Edad media a la maternidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36656","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36656?tip=AM","32.301428","Todos"
"2054","Total Nacional","Edad media a la maternidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36656","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36656?tip=AM","32.305739","Todos"
