"anio","ambito_geografico","indicador","estado_dato","tipo_dato_ine","fuente","url_api","nacimientos_personas","sexo","generacion_madre"
"2025","Total Nacional","Numero de nacimientos","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36644","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36644?tip=AM","331616.022332","Total","Total generacion"
"2026","Total Nacional","Numero de nacimientos","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36644","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36644?tip=AM","338498.952554","Total","Total generacion"
"2027","Total Nacional","Numero de nacimientos","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36644","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36644?tip=AM","345186.384258","Total","Total generacion"
"2028","Total Nacional","Numero de nacimientos","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36644","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36644?tip=AM","351473.04292","Total","Total generacion"
"2029","Total Nacional","Numero de nacimientos","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36644","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36644?tip=AM","357335.724976","Total","Total generacion"
"2030","Total Nacional","Numero de nacimientos","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36644","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36644?tip=AM","362847.520656","Total","Total generacion"
"2031","Total Nacional","Numero de nacimientos","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36644","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36644?tip=AM","368131.297286","Total","Total generacion"
"2032","Total Nacional","Numero de nacimientos","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36644","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36644?tip=AM","373321.00724","Total","Total generacion"
"2033","Total Nacional","Numero de nacimientos","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36644","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36644?tip=AM","378505.217082","Total","Total generacion"
"2034","Total Nacional","Numero de nacimientos","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36644","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36644?tip=AM","383738.146992","Total","Total generacion"
"2035","Total Nacional","Numero de nacimientos","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36644","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36644?tip=AM","389023.745674","Total","Total generacion"
"2036","Total Nacional","Numero de nacimientos","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36644","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36644?tip=AM","394262.774938","Total","Total generacion"
"2037","Total Nacional","Numero de nacimientos","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36644","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36644?tip=AM","399299.86685","Total","Total generacion"
"2038","Total Nacional","Numero de nacimientos","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36644","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36644?tip=AM","403974.363166","Total","Total generacion"
"2039","Total Nacional","Numero de nacimientos","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36644","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36644?tip=AM","406228.565024","Total","Total generacion"
"2040","Total Nacional","Numero de nacimientos","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36644","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36644?tip=AM","407850.539964","Total","Total generacion"
"2041","Total Nacional","Numero de nacimientos","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36644","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36644?tip=AM","408716.080834","Total","Total generacion"
"2042","Total Nacional","Numero de nacimientos","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36644","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36644?tip=AM","408753.461294","Total","Total generacion"
"2043","Total Nacional","Numero de nacimientos","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36644","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36644?tip=AM","407964.501634","Total","Total generacion"
"2044","Total Nacional","Numero de nacimientos","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36644","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36644?tip=AM","406357.949848","Total","Total generacion"
"2045","Total Nacional","Numero de nacimientos","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36644","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36644?tip=AM","403991.766346","Total","Total generacion"
"2046","Total Nacional","Numero de nacimientos","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36644","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36644?tip=AM","400994.069306","Total","Total generacion"
"2047","Total Nacional","Numero de nacimientos","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36644","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36644?tip=AM","397479.258466","Total","Total generacion"
"2048","Total Nacional","Numero de nacimientos","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36644","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36644?tip=AM","393584.973582","Total","Total generacion"
"2049","Total Nacional","Numero de nacimientos","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36644","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36644?tip=AM","389490.570162","Total","Total generacion"
"2050","Total Nacional","Numero de nacimientos","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36644","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36644?tip=AM","385362.832898","Total","Total generacion"
"2051","Total Nacional","Numero de nacimientos","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36644","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36644?tip=AM","381360.280034","Total","Total generacion"
"2052","Total Nacional","Numero de nacimientos","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36644","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36644?tip=AM","377625.739242","Total","Total generacion"
"2053","Total Nacional","Numero de nacimientos","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36644","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36644?tip=AM","374300.33976","Total","Total generacion"
"2054","Total Nacional","Numero de nacimientos","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36644","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36644?tip=AM","371527.94302","Total","Total generacion"
"2055","Total Nacional","Numero de nacimientos","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36644","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36644?tip=AM","369412.632154","Total","Total generacion"
"2056","Total Nacional","Numero de nacimientos","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36644","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36644?tip=AM","368019.347788","Total","Total generacion"
"2057","Total Nacional","Numero de nacimientos","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36644","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36644?tip=AM","367384.960592","Total","Total generacion"
"2058","Total Nacional","Numero de nacimientos","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36644","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36644?tip=AM","367503.306362","Total","Total generacion"
"2059","Total Nacional","Numero de nacimientos","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36644","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36644?tip=AM","368352.8731","Total","Total generacion"
"2060","Total Nacional","Numero de nacimientos","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36644","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36644?tip=AM","369879.069798","Total","Total generacion"
"2061","Total Nacional","Numero de nacimientos","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36644","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36644?tip=AM","371975.719874","Total","Total generacion"
"2062","Total Nacional","Numero de nacimientos","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36644","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36644?tip=AM","374519.344724","Total","Total generacion"
"2063","Total Nacional","Numero de nacimientos","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36644","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36644?tip=AM","377393.636122","Total","Total generacion"
"2064","Total Nacional","Numero de nacimientos","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36644","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36644?tip=AM","380491.376246","Total","Total generacion"
"2065","Total Nacional","Numero de nacimientos","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36644","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36644?tip=AM","383715.75254","Total","Total generacion"
"2066","Total Nacional","Numero de nacimientos","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36644","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36644?tip=AM","386982.111498","Total","Total generacion"
"2067","Total Nacional","Numero de nacimientos","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36644","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36644?tip=AM","390219.183326","Total","Total generacion"
"2068","Total Nacional","Numero de nacimientos","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36644","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36644?tip=AM","393371.522742","Total","Total generacion"
"2069","Total Nacional","Numero de nacimientos","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36644","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36644?tip=AM","396388.23433","Total","Total generacion"
"2070","Total Nacional","Numero de nacimientos","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36644","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36644?tip=AM","399227.339618","Total","Total generacion"
