"anio","ambito_geografico","indicador","estado_dato","tipo_dato_ine","fuente","url_api","tasa_bruta_mortalidad_defunciones_por_mil_habitantes"
"2025","Total Nacional","Tasa Bruta de Mortalidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36657","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36657?tip=AM","9.308906"
"2026","Total Nacional","Tasa Bruta de Mortalidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36657","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36657?tip=AM","9.276262"
"2027","Total Nacional","Tasa Bruta de Mortalidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36657","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36657?tip=AM","9.2555"
"2028","Total Nacional","Tasa Bruta de Mortalidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36657","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36657?tip=AM","9.247679"
"2029","Total Nacional","Tasa Bruta de Mortalidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36657","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36657?tip=AM","9.258558"
"2030","Total Nacional","Tasa Bruta de Mortalidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36657","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36657?tip=AM","9.28633"
"2031","Total Nacional","Tasa Bruta de Mortalidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36657","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36657?tip=AM","9.329188"
"2032","Total Nacional","Tasa Bruta de Mortalidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36657","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36657?tip=AM","9.386697"
"2033","Total Nacional","Tasa Bruta de Mortalidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36657","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36657?tip=AM","9.45757"
"2034","Total Nacional","Tasa Bruta de Mortalidad","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36657","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36657?tip=AM","9.539604"
