"anio","ambito_geografico","indicador","tasa_bruta_natalidad_nacidos_por_mil_habitantes","estado_dato","tipo_dato_ine","fuente","url_api"
"1975","Total Nacional","Tasa Bruta de Natalidad","18.7","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1381","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1381?tip=AM"
"1976","Total Nacional","Tasa Bruta de Natalidad","18.73","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1381","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1381?tip=AM"
"1977","Total Nacional","Tasa Bruta de Natalidad","17.96","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1381","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1381?tip=AM"
"1978","Total Nacional","Tasa Bruta de Natalidad","17.25","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1381","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1381?tip=AM"
"1979","Total Nacional","Tasa Bruta de Natalidad","16.17","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1381","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1381?tip=AM"
"1980","Total Nacional","Tasa Bruta de Natalidad","15.22","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1381","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1381?tip=AM"
"1981","Total Nacional","Tasa Bruta de Natalidad","14.1","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1381","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1381?tip=AM"
"1982","Total Nacional","Tasa Bruta de Natalidad","13.57","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1381","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1381?tip=AM"
"1983","Total Nacional","Tasa Bruta de Natalidad","12.71","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1381","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1381?tip=AM"
"1984","Total Nacional","Tasa Bruta de Natalidad","12.34","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1381","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1381?tip=AM"
"1985","Total Nacional","Tasa Bruta de Natalidad","11.85","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1381","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1381?tip=AM"
"1986","Total Nacional","Tasa Bruta de Natalidad","11.36","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1381","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1381?tip=AM"
"1987","Total Nacional","Tasa Bruta de Natalidad","11.02","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1381","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1381?tip=AM"
"1988","Total Nacional","Tasa Bruta de Natalidad","10.79","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1381","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1381?tip=AM"
"1989","Total Nacional","Tasa Bruta de Natalidad","10.51","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1381","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1381?tip=AM"
"1990","Total Nacional","Tasa Bruta de Natalidad","10.32","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1381","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1381?tip=AM"
"1991","Total Nacional","Tasa Bruta de Natalidad","10.16","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1381","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1381?tip=AM"
"1992","Total Nacional","Tasa Bruta de Natalidad","10.13","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1381","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1381?tip=AM"
"1993","Total Nacional","Tasa Bruta de Natalidad","9.8","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1381","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1381?tip=AM"
"1994","Total Nacional","Tasa Bruta de Natalidad","9.35","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1381","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1381?tip=AM"
"1995","Total Nacional","Tasa Bruta de Natalidad","9.15","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1381","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1381?tip=AM"
"1996","Total Nacional","Tasa Bruta de Natalidad","9.07","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1381","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1381?tip=AM"
"1997","Total Nacional","Tasa Bruta de Natalidad","9.2","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1381","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1381?tip=AM"
"1998","Total Nacional","Tasa Bruta de Natalidad","9.06","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1381","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1381?tip=AM"
"1999","Total Nacional","Tasa Bruta de Natalidad","9.39","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1381","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1381?tip=AM"
"2000","Total Nacional","Tasa Bruta de Natalidad","9.78","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1381","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1381?tip=AM"
"2001","Total Nacional","Tasa Bruta de Natalidad","9.94","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1381","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1381?tip=AM"
"2002","Total Nacional","Tasa Bruta de Natalidad","10.08","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1381","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1381?tip=AM"
"2003","Total Nacional","Tasa Bruta de Natalidad","10.44","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1381","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1381?tip=AM"
"2004","Total Nacional","Tasa Bruta de Natalidad","10.57","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1381","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1381?tip=AM"
"2005","Total Nacional","Tasa Bruta de Natalidad","10.65","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1381","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1381?tip=AM"
"2006","Total Nacional","Tasa Bruta de Natalidad","10.85","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1381","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1381?tip=AM"
"2007","Total Nacional","Tasa Bruta de Natalidad","10.86","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1381","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1381?tip=AM"
"2008","Total Nacional","Tasa Bruta de Natalidad","11.28","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1381","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1381?tip=AM"
