"ano","ambito","territorio","sexo","nacionalidad","salario_medio_bruto_eur_anuales","valor_original_ine","unidad","estado_dato","tipo_dato_ine","nota_muestral","fuente","url"
"2023","ccaa_nacionalidad","Andalucía","Ambos sexos","Española","25293.65","25293.65","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Andalucía","Hombres","Española","27391.61","27391.61","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Andalucía","Mujeres","Española","22906.4","22906.4","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Andalucía","Ambos sexos","Extranjera","20708.95","20708.95","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Andalucía","Hombres","Extranjera","22021.64","22021.64","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Andalucía","Mujeres","Extranjera","18918.23","-18918.23","euros anuales por trabajador","observado","Definitivo","observaciones_100_500_cifra_gran_variabilidad","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Andalucía","Ambos sexos","Total","25051.51","25051.51","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Andalucía","Hombres","Total","27085.5","27085.5","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Andalucía","Mujeres","Total","22714.95","22714.95","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Aragón","Ambos sexos","Española","27773.91","27773.91","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Aragón","Hombres","Española","30558.7","30558.7","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Aragón","Mujeres","Española","24892.31","24892.31","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Aragón","Ambos sexos","Extranjera","20255.45","20255.45","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Aragón","Hombres","Extranjera","23191.42","23191.42","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Aragón","Mujeres","Extranjera","16922.73","-16922.73","euros anuales por trabajador","observado","Definitivo","observaciones_100_500_cifra_gran_variabilidad","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Aragón","Ambos sexos","Total","26822.32","26822.32","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Aragón","Hombres","Total","29589.45","29589.45","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Aragón","Mujeres","Total","23925.28","23925.28","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Asturias, Principado de","Ambos sexos","Española","28346.18","28346.18","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Asturias, Principado de","Hombres","Española","31612.47","31612.47","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Asturias, Principado de","Mujeres","Española","25144.14","25144.14","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Asturias, Principado de","Ambos sexos","Extranjera","18555.73","-18555.73","euros anuales por trabajador","observado","Definitivo","observaciones_100_500_cifra_gran_variabilidad","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Asturias, Principado de","Hombres","Extranjera","20478.99","-20478.99","euros anuales por trabajador","observado","Definitivo","observaciones_100_500_cifra_gran_variabilidad","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Asturias, Principado de","Mujeres","Extranjera","","","euros anuales por trabajador","observado","Definitivo","no_disponible_observaciones_menores_100","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Asturias, Principado de","Ambos sexos","Total","27916.6","27916.6","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Asturias, Principado de","Hombres","Total","31033.72","31033.72","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Asturias, Principado de","Mujeres","Total","24808.62","24808.62","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Balears, Illes","Ambos sexos","Española","28254.63","28254.63","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Balears, Illes","Hombres","Española","29569.62","29569.62","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Balears, Illes","Mujeres","Española","26873.01","26873.01","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Balears, Illes","Ambos sexos","Extranjera","24068.32","24068.32","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
"2023","ccaa_nacionalidad","Balears, Illes","Hombres","Extranjera","24788.28","24788.28","euros anuales por trabajador","observado","Definitivo","","INE, Encuesta Anual de Estructura Salarial, tabla 28202","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/28202?tip=AM"
