"ano","tasa_paro_pct","estado_dato","trimestres_usados","metodo","fuente_segmento","fuente","institucion","url_fuente","notas"
"1977","5.19","observado_calculado","1977T1;1977T2;1977T3;1977T4","media_aritmetica_de_las_cuatro_tasas_trimestrales_ine","base_poblacional_2001_metodologia_epa_2005_serie_1976_1995","INE EPA","Instituto Nacional de Estadistica","https://www.ine.es/inebaseDYN/epa30308_p2001/epa_series_anteriores2005.htm; https://ine.es/consul/serie.do?d=true&s=EPA423474","Total Nacional; ambos sexos; edad total. Media simple anual calculada con cuatro trimestres oficiales."
"1978","6.94","observado_calculado","1978T1;1978T2;1978T3;1978T4","media_aritmetica_de_las_cuatro_tasas_trimestrales_ine","base_poblacional_2001_metodologia_epa_2005_serie_1976_1995","INE EPA","Instituto Nacional de Estadistica","https://www.ine.es/inebaseDYN/epa30308_p2001/epa_series_anteriores2005.htm; https://ine.es/consul/serie.do?d=true&s=EPA423474","Total Nacional; ambos sexos; edad total. Media simple anual calculada con cuatro trimestres oficiales."
"1979","8.64","observado_calculado","1979T1;1979T2;1979T3;1979T4","media_aritmetica_de_las_cuatro_tasas_trimestrales_ine","base_poblacional_2001_metodologia_epa_2005_serie_1976_1995","INE EPA","Instituto Nacional de Estadistica","https://www.ine.es/inebaseDYN/epa30308_p2001/epa_series_anteriores2005.htm; https://ine.es/consul/serie.do?d=true&s=EPA423474","Total Nacional; ambos sexos; edad total. Media simple anual calculada con cuatro trimestres oficiales."
"1980","11.42","observado_calculado","1980T1;1980T2;1980T3;1980T4","media_aritmetica_de_las_cuatro_tasas_trimestrales_ine","base_poblacional_2001_metodologia_epa_2005_serie_1976_1995","INE EPA","Instituto Nacional de Estadistica","https://www.ine.es/inebaseDYN/epa30308_p2001/epa_series_anteriores2005.htm; https://ine.es/consul/serie.do?d=true&s=EPA423474","Total Nacional; ambos sexos; edad total. Media simple anual calculada con cuatro trimestres oficiales."
"1981","14.03","observado_calculado","1981T1;1981T2;1981T3;1981T4","media_aritmetica_de_las_cuatro_tasas_trimestrales_ine","base_poblacional_2001_metodologia_epa_2005_serie_1976_1995","INE EPA","Instituto Nacional de Estadistica","https://www.ine.es/inebaseDYN/epa30308_p2001/epa_series_anteriores2005.htm; https://ine.es/consul/serie.do?d=true&s=EPA423474","Total Nacional; ambos sexos; edad total. Media simple anual calculada con cuatro trimestres oficiales."
"1982","15.85","observado_calculado","1982T1;1982T2;1982T3;1982T4","media_aritmetica_de_las_cuatro_tasas_trimestrales_ine","base_poblacional_2001_metodologia_epa_2005_serie_1976_1995","INE EPA","Instituto Nacional de Estadistica","https://www.ine.es/inebaseDYN/epa30308_p2001/epa_series_anteriores2005.htm; https://ine.es/consul/serie.do?d=true&s=EPA423474","Total Nacional; ambos sexos; edad total. Media simple anual calculada con cuatro trimestres oficiales."
"1983","17.33","observado_calculado","1983T1;1983T2;1983T3;1983T4","media_aritmetica_de_las_cuatro_tasas_trimestrales_ine","base_poblacional_2001_metodologia_epa_2005_serie_1976_1995","INE EPA","Instituto Nacional de Estadistica","https://www.ine.es/inebaseDYN/epa30308_p2001/epa_series_anteriores2005.htm; https://ine.es/consul/serie.do?d=true&s=EPA423474","Total Nacional; ambos sexos; edad total. Media simple anual calculada con cuatro trimestres oficiales."
"1984","20.08","observado_calculado","1984T1;1984T2;1984T3;1984T4","media_aritmetica_de_las_cuatro_tasas_trimestrales_ine","base_poblacional_2001_metodologia_epa_2005_serie_1976_1995","INE EPA","Instituto Nacional de Estadistica","https://www.ine.es/inebaseDYN/epa30308_p2001/epa_series_anteriores2005.htm; https://ine.es/consul/serie.do?d=true&s=EPA423474","Total Nacional; ambos sexos; edad total. Media simple anual calculada con cuatro trimestres oficiales."
"1985","21.45","observado_calculado","1985T1;1985T2;1985T3;1985T4","media_aritmetica_de_las_cuatro_tasas_trimestrales_ine","base_poblacional_2001_metodologia_epa_2005_serie_1976_1995","INE EPA","Instituto Nacional de Estadistica","https://www.ine.es/inebaseDYN/epa30308_p2001/epa_series_anteriores2005.htm; https://ine.es/consul/serie.do?d=true&s=EPA423474","Total Nacional; ambos sexos; edad total. Media simple anual calculada con cuatro trimestres oficiales."
"1986","20.98","observado_calculado","1986T1;1986T2;1986T3;1986T4","media_aritmetica_de_las_cuatro_tasas_trimestrales_ine","base_poblacional_2001_metodologia_epa_2005_serie_1976_1995","INE EPA","Instituto Nacional de Estadistica","https://www.ine.es/inebaseDYN/epa30308_p2001/epa_series_anteriores2005.htm; https://ine.es/consul/serie.do?d=true&s=EPA423474","Total Nacional; ambos sexos; edad total. Media simple anual calculada con cuatro trimestres oficiales."
"1987","20.22","observado_calculado","1987T1;1987T2;1987T3;1987T4","media_aritmetica_de_las_cuatro_tasas_trimestrales_ine","base_poblacional_2001_metodologia_epa_2005_serie_1976_1995","INE EPA","Instituto Nacional de Estadistica","https://www.ine.es/inebaseDYN/epa30308_p2001/epa_series_anteriores2005.htm; https://ine.es/consul/serie.do?d=true&s=EPA423474","Total Nacional; ambos sexos; edad total. Media simple anual calculada con cuatro trimestres oficiales."
