"periodo","ano","trimestre","tasa_paro_pct","estado_dato","fuente_segmento","fuente","institucion","url_fuente","notas"
"1976T3","1976","3","4.41","observado","base_poblacional_2001_metodologia_epa_2005_serie_1976_1995","INE EPA tabla historica 01011","Instituto Nacional de Estadistica","https://www.ine.es/dynt3/inebase/index.htm?type=pcaxis&path=/t22/e308/meto_02/pae/px/&file=pcaxis","Total Nacional; ambos sexos; edad total; tasas de paro. Serie historica anterior a 2005."
"1976T4","1976","4","4.72","observado","base_poblacional_2001_metodologia_epa_2005_serie_1976_1995","INE EPA tabla historica 01011","Instituto Nacional de Estadistica","https://www.ine.es/dynt3/inebase/index.htm?type=pcaxis&path=/t22/e308/meto_02/pae/px/&file=pcaxis","Total Nacional; ambos sexos; edad total; tasas de paro. Serie historica anterior a 2005."
"1977T1","1977","1","4.93","observado","base_poblacional_2001_metodologia_epa_2005_serie_1976_1995","INE EPA tabla historica 01011","Instituto Nacional de Estadistica","https://www.ine.es/dynt3/inebase/index.htm?type=pcaxis&path=/t22/e308/meto_02/pae/px/&file=pcaxis","Total Nacional; ambos sexos; edad total; tasas de paro. Serie historica anterior a 2005."
"1977T2","1977","2","4.78","observado","base_poblacional_2001_metodologia_epa_2005_serie_1976_1995","INE EPA tabla historica 01011","Instituto Nacional de Estadistica","https://www.ine.es/dynt3/inebase/index.htm?type=pcaxis&path=/t22/e308/meto_02/pae/px/&file=pcaxis","Total Nacional; ambos sexos; edad total; tasas de paro. Serie historica anterior a 2005."
"1977T3","1977","3","5.34","observado","base_poblacional_2001_metodologia_epa_2005_serie_1976_1995","INE EPA tabla historica 01011","Instituto Nacional de Estadistica","https://www.ine.es/dynt3/inebase/index.htm?type=pcaxis&path=/t22/e308/meto_02/pae/px/&file=pcaxis","Total Nacional; ambos sexos; edad total; tasas de paro. Serie historica anterior a 2005."
"1977T4","1977","4","5.69","observado","base_poblacional_2001_metodologia_epa_2005_serie_1976_1995","INE EPA tabla historica 01011","Instituto Nacional de Estadistica","https://www.ine.es/dynt3/inebase/index.htm?type=pcaxis&path=/t22/e308/meto_02/pae/px/&file=pcaxis","Total Nacional; ambos sexos; edad total; tasas de paro. Serie historica anterior a 2005."
"1978T1","1978","1","6.47","observado","base_poblacional_2001_metodologia_epa_2005_serie_1976_1995","INE EPA tabla historica 01011","Instituto Nacional de Estadistica","https://www.ine.es/dynt3/inebase/index.htm?type=pcaxis&path=/t22/e308/meto_02/pae/px/&file=pcaxis","Total Nacional; ambos sexos; edad total; tasas de paro. Serie historica anterior a 2005."
"1978T2","1978","2","6.61","observado","base_poblacional_2001_metodologia_epa_2005_serie_1976_1995","INE EPA tabla historica 01011","Instituto Nacional de Estadistica","https://www.ine.es/dynt3/inebase/index.htm?type=pcaxis&path=/t22/e308/meto_02/pae/px/&file=pcaxis","Total Nacional; ambos sexos; edad total; tasas de paro. Serie historica anterior a 2005."
"1978T3","1978","3","7.07","observado","base_poblacional_2001_metodologia_epa_2005_serie_1976_1995","INE EPA tabla historica 01011","Instituto Nacional de Estadistica","https://www.ine.es/dynt3/inebase/index.htm?type=pcaxis&path=/t22/e308/meto_02/pae/px/&file=pcaxis","Total Nacional; ambos sexos; edad total; tasas de paro. Serie historica anterior a 2005."
"1978T4","1978","4","7.62","observado","base_poblacional_2001_metodologia_epa_2005_serie_1976_1995","INE EPA tabla historica 01011","Instituto Nacional de Estadistica","https://www.ine.es/dynt3/inebase/index.htm?type=pcaxis&path=/t22/e308/meto_02/pae/px/&file=pcaxis","Total Nacional; ambos sexos; edad total; tasas de paro. Serie historica anterior a 2005."
