"anio","ambito_geografico","sexo","esperanza_vida_nacimiento_anios","tipo_dato","fuente"
"1975","Total Nacional","Ambos sexos","73,44","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1975","Total Nacional","Hombres","70,53","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1975","Total Nacional","Mujeres","76,25","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1976","Total Nacional","Ambos sexos","73,76","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1976","Total Nacional","Hombres","70,81","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1976","Total Nacional","Mujeres","76,61","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1977","Total Nacional","Ambos sexos","74,24","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1977","Total Nacional","Hombres","71,27","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1977","Total Nacional","Mujeres","77,12","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1978","Total Nacional","Ambos sexos","74,44","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1978","Total Nacional","Hombres","71,41","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1978","Total Nacional","Mujeres","77,37","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1979","Total Nacional","Ambos sexos","74,91","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1979","Total Nacional","Hombres","71,81","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1979","Total Nacional","Mujeres","77,91","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1980","Total Nacional","Ambos sexos","75,44","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1980","Total Nacional","Hombres","72,36","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1980","Total Nacional","Mujeres","78,41","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1981","Total Nacional","Ambos sexos","75,61","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1981","Total Nacional","Hombres","72,51","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1981","Total Nacional","Mujeres","78,63","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1982","Total Nacional","Ambos sexos","76,22","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1982","Total Nacional","Hombres","73,15","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1982","Total Nacional","Mujeres","79,19","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1983","Total Nacional","Ambos sexos","76,02","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1983","Total Nacional","Hombres","72,94","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1983","Total Nacional","Mujeres","79,0","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1984","Total Nacional","Ambos sexos","76,39","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1984","Total Nacional","Hombres","73,18","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1984","Total Nacional","Mujeres","79,51","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1985","Total Nacional","Ambos sexos","76,34","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1985","Total Nacional","Hombres","73,08","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1985","Total Nacional","Mujeres","79,54","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1986","Total Nacional","Ambos sexos","76,61","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1986","Total Nacional","Hombres","73,4","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1986","Total Nacional","Mujeres","79,75","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1987","Total Nacional","Ambos sexos","76,84","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1987","Total Nacional","Hombres","73,55","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1987","Total Nacional","Mujeres","80,07","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1988","Total Nacional","Ambos sexos","76,86","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1988","Total Nacional","Hombres","73,52","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1988","Total Nacional","Mujeres","80,15","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1989","Total Nacional","Ambos sexos","76,9","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1989","Total Nacional","Hombres","73,42","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1989","Total Nacional","Mujeres","80,36","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1990","Total Nacional","Ambos sexos","76,91","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1990","Total Nacional","Hombres","73,4","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1990","Total Nacional","Mujeres","80,41","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1991","Total Nacional","Ambos sexos","77,07","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"1991","Total Nacional","Hombres","73,49","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
