"fecha_referencia","ambito_geografico","regimen","clase_pension","pensiones","importe_nomina_mensual_eur","pension_media_eur_mes","estado_dato","fuente"
"2026-04-01","Espana","Total sistema","Total pensiones","10476332","14336235196.5","1368.44","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Regimen_clase"
"2026-04-01","Espana","Total sistema","Incapacidad permanente","1061553","1331621989.15","1254.41","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Regimen_clase"
"2026-04-01","Espana","Total sistema","Jubilacion","6688655","10499212069.56","1569.7","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Regimen_clase"
"2026-04-01","Espana","General","Total pensiones","7869865","11687443292.66","1485.09","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Regimen_clase"
"2026-04-01","Espana","General","Incapacidad permanente","820836","1046736884.09","1275.21","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Regimen_clase"
"2026-04-01","Espana","General","Jubilacion","5006253","8658939063.51","1729.62","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Regimen_clase"
"2026-04-01","Espana","Trabajadores autónomos","Total pensiones","2018275","1926970777.33","954.76","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Regimen_clase"
"2026-04-01","Espana","Trabajadores autónomos","Incapacidad permanente","124931","122149545.39","977.74","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Regimen_clase"
"2026-04-01","Espana","Trabajadores autónomos","Jubilacion","1358381","1437857764.94","1058.51","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Regimen_clase"
"2026-04-01","Espana","Trabajadores del mar","Total pensiones","114334","159899919.84","1398.53","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Regimen_clase"
"2026-04-01","Espana","Trabajadores del mar","Incapacidad permanente","7179","9258565.43","1289.67","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Regimen_clase"
"2026-04-01","Espana","Trabajadores del mar","Jubilacion","62972","109211150.23","1734.28","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Regimen_clase"
"2026-04-01","Espana","Minería del carbón","Total pensiones","56114","133301657.43","2375.55","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Regimen_clase"
"2026-04-01","Espana","Minería del carbón","Incapacidad permanente","1571","3302404.45","2102.1","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Regimen_clase"
"2026-04-01","Espana","Minería del carbón","Jubilacion","33310","99874424.59","2998.33","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Regimen_clase"
"2026-04-01","Espana","Accidentes de trabajo","Total pensiones","203226","278850149.74","1372.12","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Regimen_clase"
"2026-04-01","Espana","Accidentes de trabajo","Incapacidad permanente","92726","132043962.09","1424.02","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Regimen_clase"
"2026-04-01","Espana","Accidentes de trabajo","Jubilacion","51865","84180279.48","1623.07","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Regimen_clase"
"2026-04-01","Espana","Enfermedades profesionales","Total pensiones","31229","50267253.37","1609.63","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Regimen_clase"
"2026-04-01","Espana","Enfermedades profesionales","Incapacidad permanente","12521","17117270.39","1367.08","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Regimen_clase"
"2026-04-01","Espana","Enfermedades profesionales","Jubilacion","9554","19234922.53","2013.28","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Regimen_clase"
"2026-04-01","Espana","SOVI","Total pensiones","183289","99502146.13","542.87","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Regimen_clase"
"2026-04-01","Espana","SOVI","Incapacidad permanente","1789","1013357.31","566.44","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Regimen_clase"
