date,year,month,period_label,social_security_average_affiliations_total,source_institution,source_dataset,source_url
"2001-01-01",2001,1,"Enero 2001",15194299.22,"Seguridad Social","Serie de afiliacion Media por regimenes 2001-2026","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST8/EST10/EST290/EST291"
"2001-02-01",2001,2,"Febrero 2001",15326583.35,"Seguridad Social","Serie de afiliacion Media por regimenes 2001-2026","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST8/EST10/EST290/EST291"
"2001-03-01",2001,3,"Marzo 2001",15455386.4,"Seguridad Social","Serie de afiliacion Media por regimenes 2001-2026","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST8/EST10/EST290/EST291"
"2001-04-01",2001,4,"Abril 2001",15551821.04,"Seguridad Social","Serie de afiliacion Media por regimenes 2001-2026","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST8/EST10/EST290/EST291"
"2001-05-01",2001,5,"Mayo 2001",15688072.27,"Seguridad Social","Serie de afiliacion Media por regimenes 2001-2026","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST8/EST10/EST290/EST291"
"2001-06-01",2001,6,"Junio 2001",15802406.55,"Seguridad Social","Serie de afiliacion Media por regimenes 2001-2026","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST8/EST10/EST290/EST291"
"2001-07-01",2001,7,"Julio 2001",15941613.6,"Seguridad Social","Serie de afiliacion Media por regimenes 2001-2026","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST8/EST10/EST290/EST291"
"2001-08-01",2001,8,"Agosto 2001",15829410.01,"Seguridad Social","Serie de afiliacion Media por regimenes 2001-2026","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST8/EST10/EST290/EST291"
"2001-09-01",2001,9,"Septiembre 2001",15807572.64,"Seguridad Social","Serie de afiliacion Media por regimenes 2001-2026","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST8/EST10/EST290/EST291"
"2001-10-01",2001,10,"Octubre 2001",15845332.53,"Seguridad Social","Serie de afiliacion Media por regimenes 2001-2026","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST8/EST10/EST290/EST291"
"2001-11-01",2001,11,"Noviembre 2001",15885774.66,"Seguridad Social","Serie de afiliacion Media por regimenes 2001-2026","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST8/EST10/EST290/EST291"
"2001-12-01",2001,12,"Diciembre 2001",15901915.26,"Seguridad Social","Serie de afiliacion Media por regimenes 2001-2026","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST8/EST10/EST290/EST291"
"2002-01-01",2002,1,"Enero 2002",15716520.01,"Seguridad Social","Serie de afiliacion Media por regimenes 2001-2026","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST8/EST10/EST290/EST291"
"2002-02-01",2002,2,"Febrero 2002",15834338.25,"Seguridad Social","Serie de afiliacion Media por regimenes 2001-2026","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST8/EST10/EST290/EST291"
"2002-03-01",2002,3,"Marzo 2002",15927218.2,"Seguridad Social","Serie de afiliacion Media por regimenes 2001-2026","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST8/EST10/EST290/EST291"
"2002-04-01",2002,4,"Abril 2002",16025754.18,"Seguridad Social","Serie de afiliacion Media por regimenes 2001-2026","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST8/EST10/EST290/EST291"
"2002-05-01",2002,5,"Mayo 2002",16183522.4,"Seguridad Social","Serie de afiliacion Media por regimenes 2001-2026","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST8/EST10/EST290/EST291"
"2002-06-01",2002,6,"Junio 2002",16260265.76,"Seguridad Social","Serie de afiliacion Media por regimenes 2001-2026","https://www.seg-social.es/wps/portal/wss/internet/EstadisticasPresupuestosEstudios/Estadisticas/EST8/EST10/EST290/EST291"
