"anio","mes_referencia","ambito_geografico","pensionistas_personas","pensionistas_millones","estado_dato","fuente","metodo","cobertura","edad_ordinaria_referencia_aplicada","poblacion_edad_ordinaria_o_mas_personas","ratio_pensionistas_sobre_poblacion_edad_ordinaria_o_mas","nota"
"1975","","Espana","","","no_estimado","Seguridad Social - eSTADISS / Libro Evolucion mensual de las pensiones","No se calcula un valor a partir de pensiones, porque pensionistas y pensiones no son equivalentes.","Fila de cobertura para mantener el eje 1975-2070 solicitado; pendiente de descarga manual eSTADISS si publica personas para este tramo.","","","","El fichero oficial local solo ofrece la serie historica de personas pensionistas desde 2006. No se rellena 1975-2005 con numero de pensiones."
"1976","","Espana","","","no_estimado","Seguridad Social - eSTADISS / Libro Evolucion mensual de las pensiones","No se calcula un valor a partir de pensiones, porque pensionistas y pensiones no son equivalentes.","Fila de cobertura para mantener el eje 1975-2070 solicitado; pendiente de descarga manual eSTADISS si publica personas para este tramo.","","","","El fichero oficial local solo ofrece la serie historica de personas pensionistas desde 2006. No se rellena 1975-2005 con numero de pensiones."
"1977","","Espana","","","no_estimado","Seguridad Social - eSTADISS / Libro Evolucion mensual de las pensiones","No se calcula un valor a partir de pensiones, porque pensionistas y pensiones no son equivalentes.","Fila de cobertura para mantener el eje 1975-2070 solicitado; pendiente de descarga manual eSTADISS si publica personas para este tramo.","","","","El fichero oficial local solo ofrece la serie historica de personas pensionistas desde 2006. No se rellena 1975-2005 con numero de pensiones."
"1978","","Espana","","","no_estimado","Seguridad Social - eSTADISS / Libro Evolucion mensual de las pensiones","No se calcula un valor a partir de pensiones, porque pensionistas y pensiones no son equivalentes.","Fila de cobertura para mantener el eje 1975-2070 solicitado; pendiente de descarga manual eSTADISS si publica personas para este tramo.","","","","El fichero oficial local solo ofrece la serie historica de personas pensionistas desde 2006. No se rellena 1975-2005 con numero de pensiones."
"1979","","Espana","","","no_estimado","Seguridad Social - eSTADISS / Libro Evolucion mensual de las pensiones","No se calcula un valor a partir de pensiones, porque pensionistas y pensiones no son equivalentes.","Fila de cobertura para mantener el eje 1975-2070 solicitado; pendiente de descarga manual eSTADISS si publica personas para este tramo.","","","","El fichero oficial local solo ofrece la serie historica de personas pensionistas desde 2006. No se rellena 1975-2005 con numero de pensiones."
"1980","","Espana","","","no_estimado","Seguridad Social - eSTADISS / Libro Evolucion mensual de las pensiones","No se calcula un valor a partir de pensiones, porque pensionistas y pensiones no son equivalentes.","Fila de cobertura para mantener el eje 1975-2070 solicitado; pendiente de descarga manual eSTADISS si publica personas para este tramo.","","","","El fichero oficial local solo ofrece la serie historica de personas pensionistas desde 2006. No se rellena 1975-2005 con numero de pensiones."
"1981","","Espana","","","no_estimado","Seguridad Social - eSTADISS / Libro Evolucion mensual de las pensiones","No se calcula un valor a partir de pensiones, porque pensionistas y pensiones no son equivalentes.","Fila de cobertura para mantener el eje 1975-2070 solicitado; pendiente de descarga manual eSTADISS si publica personas para este tramo.","","","","El fichero oficial local solo ofrece la serie historica de personas pensionistas desde 2006. No se rellena 1975-2005 con numero de pensiones."
"1982","","Espana","","","no_estimado","Seguridad Social - eSTADISS / Libro Evolucion mensual de las pensiones","No se calcula un valor a partir de pensiones, porque pensionistas y pensiones no son equivalentes.","Fila de cobertura para mantener el eje 1975-2070 solicitado; pendiente de descarga manual eSTADISS si publica personas para este tramo.","","","","El fichero oficial local solo ofrece la serie historica de personas pensionistas desde 2006. No se rellena 1975-2005 con numero de pensiones."
"1983","","Espana","","","no_estimado","Seguridad Social - eSTADISS / Libro Evolucion mensual de las pensiones","No se calcula un valor a partir de pensiones, porque pensionistas y pensiones no son equivalentes.","Fila de cobertura para mantener el eje 1975-2070 solicitado; pendiente de descarga manual eSTADISS si publica personas para este tramo.","","","","El fichero oficial local solo ofrece la serie historica de personas pensionistas desde 2006. No se rellena 1975-2005 con numero de pensiones."
"1984","","Espana","","","no_estimado","Seguridad Social - eSTADISS / Libro Evolucion mensual de las pensiones","No se calcula un valor a partir de pensiones, porque pensionistas y pensiones no son equivalentes.","Fila de cobertura para mantener el eje 1975-2070 solicitado; pendiente de descarga manual eSTADISS si publica personas para este tramo.","","","","El fichero oficial local solo ofrece la serie historica de personas pensionistas desde 2006. No se rellena 1975-2005 con numero de pensiones."
