"anio","mes_referencia","ambito_geografico","pensionistas_personas","pensionistas_millones","estado_dato","fuente","metodo","cobertura","edad_ordinaria_referencia_aplicada","poblacion_edad_ordinaria_o_mas_personas","ratio_pensionistas_sobre_poblacion_edad_ordinaria_o_mas","nota"
"2006","Diciembre","Espana","7494385","7.494385","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Pnes y ptas","Extraccion directa del campo PENSIONISTAS (personas), no del numero de pensiones.","Serie historica publicada en el libro mensual disponible en bruto local; cubre 2006-2025 a diciembre y 2026 a abril.","","","","Dato de personas pensionistas. Una persona con varias pensiones cuenta una vez."
"2007","Diciembre","Espana","7586574","7.586574","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Pnes y ptas","Extraccion directa del campo PENSIONISTAS (personas), no del numero de pensiones.","Serie historica publicada en el libro mensual disponible en bruto local; cubre 2006-2025 a diciembre y 2026 a abril.","","","","Dato de personas pensionistas. Una persona con varias pensiones cuenta una vez."
"2008","Diciembre","Espana","7700749","7.700749","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Pnes y ptas","Extraccion directa del campo PENSIONISTAS (personas), no del numero de pensiones.","Serie historica publicada en el libro mensual disponible en bruto local; cubre 2006-2025 a diciembre y 2026 a abril.","","","","Dato de personas pensionistas. Una persona con varias pensiones cuenta una vez."
"2009","Diciembre","Espana","7826416","7.826416","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Pnes y ptas","Extraccion directa del campo PENSIONISTAS (personas), no del numero de pensiones.","Serie historica publicada en el libro mensual disponible en bruto local; cubre 2006-2025 a diciembre y 2026 a abril.","","","","Dato de personas pensionistas. Una persona con varias pensiones cuenta una vez."
"2010","Diciembre","Espana","7948463","7.948463","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Pnes y ptas","Extraccion directa del campo PENSIONISTAS (personas), no del numero de pensiones.","Serie historica publicada en el libro mensual disponible en bruto local; cubre 2006-2025 a diciembre y 2026 a abril.","","","","Dato de personas pensionistas. Una persona con varias pensiones cuenta una vez."
"2011","Diciembre","Espana","8061785","8.061785","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Pnes y ptas","Extraccion directa del campo PENSIONISTAS (personas), no del numero de pensiones.","Serie historica publicada en el libro mensual disponible en bruto local; cubre 2006-2025 a diciembre y 2026 a abril.","","","","Dato de personas pensionistas. Una persona con varias pensiones cuenta una vez."
"2012","Diciembre","Espana","8182112","8.182112","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Pnes y ptas","Extraccion directa del campo PENSIONISTAS (personas), no del numero de pensiones.","Serie historica publicada en el libro mensual disponible en bruto local; cubre 2006-2025 a diciembre y 2026 a abril.","","","","Dato de personas pensionistas. Una persona con varias pensiones cuenta una vez."
"2013","Diciembre","Espana","8315826","8.315826","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Pnes y ptas","Extraccion directa del campo PENSIONISTAS (personas), no del numero de pensiones.","Serie historica publicada en el libro mensual disponible en bruto local; cubre 2006-2025 a diciembre y 2026 a abril.","","","","Dato de personas pensionistas. Una persona con varias pensiones cuenta una vez."
"2014","Diciembre","Espana","8428617","8.428617","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Pnes y ptas","Extraccion directa del campo PENSIONISTAS (personas), no del numero de pensiones.","Serie historica publicada en el libro mensual disponible en bruto local; cubre 2006-2025 a diciembre y 2026 a abril.","","","","Dato de personas pensionistas. Una persona con varias pensiones cuenta una vez."
"2015","Diciembre","Espana","8508482","8.508482","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Pnes y ptas","Extraccion directa del campo PENSIONISTAS (personas), no del numero de pensiones.","Serie historica publicada en el libro mensual disponible en bruto local; cubre 2006-2025 a diciembre y 2026 a abril.","","","","Dato de personas pensionistas. Una persona con varias pensiones cuenta una vez."
"2016","Diciembre","Espana","8609085","8.609085","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Pnes y ptas","Extraccion directa del campo PENSIONISTAS (personas), no del numero de pensiones.","Serie historica publicada en el libro mensual disponible en bruto local; cubre 2006-2025 a diciembre y 2026 a abril.","","","","Dato de personas pensionistas. Una persona con varias pensiones cuenta una vez."
"2017","Diciembre","Espana","8705707","8.705707","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Pnes y ptas","Extraccion directa del campo PENSIONISTAS (personas), no del numero de pensiones.","Serie historica publicada en el libro mensual disponible en bruto local; cubre 2006-2025 a diciembre y 2026 a abril.","","","","Dato de personas pensionistas. Una persona con varias pensiones cuenta una vez."
"2018","Diciembre","Espana","8806744","8.806744","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Pnes y ptas","Extraccion directa del campo PENSIONISTAS (personas), no del numero de pensiones.","Serie historica publicada en el libro mensual disponible en bruto local; cubre 2006-2025 a diciembre y 2026 a abril.","","","","Dato de personas pensionistas. Una persona con varias pensiones cuenta una vez."
"2019","Diciembre","Espana","8897902","8.897902","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Pnes y ptas","Extraccion directa del campo PENSIONISTAS (personas), no del numero de pensiones.","Serie historica publicada en el libro mensual disponible en bruto local; cubre 2006-2025 a diciembre y 2026 a abril.","","","","Dato de personas pensionistas. Una persona con varias pensiones cuenta una vez."
"2020","Diciembre","Espana","8899064","8.899064","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Pnes y ptas","Extraccion directa del campo PENSIONISTAS (personas), no del numero de pensiones.","Serie historica publicada en el libro mensual disponible en bruto local; cubre 2006-2025 a diciembre y 2026 a abril.","","","","Dato de personas pensionistas. Una persona con varias pensiones cuenta una vez."
"2021","Diciembre","Espana","8990513","8.990513","observado","Seguridad Social - Libro Evolucion mensual de las pensiones, hoja Pnes y ptas","Extraccion directa del campo PENSIONISTAS (personas), no del numero de pensiones.","Serie historica publicada en el libro mensual disponible en bruto local; cubre 2006-2025 a diciembre y 2026 a abril.","","","","Dato de personas pensionistas. Una persona con varias pensiones cuenta una vez."
