"ano","fuente","edicion_disponible_segun_fuente","microdatos_locales","estado_cobertura","valor_calculado","archivos_detectados","nota"
"2004","Seguridad Social, Muestra Continua de Vidas Laborales","si","no_detectados","pendiente_microdatos","no","","Cobertura candidata de ediciones MCVL sin datos fiscales. Para calcular la tasa hacen falta al menos prestaciones, bases de cotizacion y afiliacion de la edicion correspondiente."
"2005","Seguridad Social, Muestra Continua de Vidas Laborales","si","no_detectados","pendiente_microdatos","no","","Cobertura candidata de ediciones MCVL sin datos fiscales. Para calcular la tasa hacen falta al menos prestaciones, bases de cotizacion y afiliacion de la edicion correspondiente."
"2006","Seguridad Social, Muestra Continua de Vidas Laborales","si","no_detectados","pendiente_microdatos","no","","Cobertura candidata de ediciones MCVL sin datos fiscales. Para calcular la tasa hacen falta al menos prestaciones, bases de cotizacion y afiliacion de la edicion correspondiente."
"2007","Seguridad Social, Muestra Continua de Vidas Laborales","si","no_detectados","pendiente_microdatos","no","","Cobertura candidata de ediciones MCVL sin datos fiscales. Para calcular la tasa hacen falta al menos prestaciones, bases de cotizacion y afiliacion de la edicion correspondiente."
"2008","Seguridad Social, Muestra Continua de Vidas Laborales","si","no_detectados","pendiente_microdatos","no","","Cobertura candidata de ediciones MCVL sin datos fiscales. Para calcular la tasa hacen falta al menos prestaciones, bases de cotizacion y afiliacion de la edicion correspondiente."
"2009","Seguridad Social, Muestra Continua de Vidas Laborales","si","no_detectados","pendiente_microdatos","no","","Cobertura candidata de ediciones MCVL sin datos fiscales. Para calcular la tasa hacen falta al menos prestaciones, bases de cotizacion y afiliacion de la edicion correspondiente."
"2010","Seguridad Social, Muestra Continua de Vidas Laborales","si","no_detectados","pendiente_microdatos","no","","Cobertura candidata de ediciones MCVL sin datos fiscales. Para calcular la tasa hacen falta al menos prestaciones, bases de cotizacion y afiliacion de la edicion correspondiente."
"2011","Seguridad Social, Muestra Continua de Vidas Laborales","si","no_detectados","pendiente_microdatos","no","","Cobertura candidata de ediciones MCVL sin datos fiscales. Para calcular la tasa hacen falta al menos prestaciones, bases de cotizacion y afiliacion de la edicion correspondiente."
"2012","Seguridad Social, Muestra Continua de Vidas Laborales","si","no_detectados","pendiente_microdatos","no","","Cobertura candidata de ediciones MCVL sin datos fiscales. Para calcular la tasa hacen falta al menos prestaciones, bases de cotizacion y afiliacion de la edicion correspondiente."
"2013","Seguridad Social, Muestra Continua de Vidas Laborales","si","no_detectados","pendiente_microdatos","no","","Cobertura candidata de ediciones MCVL sin datos fiscales. Para calcular la tasa hacen falta al menos prestaciones, bases de cotizacion y afiliacion de la edicion correspondiente."
"2014","Seguridad Social, Muestra Continua de Vidas Laborales","si","no_detectados","pendiente_microdatos","no","","Cobertura candidata de ediciones MCVL sin datos fiscales. Para calcular la tasa hacen falta al menos prestaciones, bases de cotizacion y afiliacion de la edicion correspondiente."
"2015","Seguridad Social, Muestra Continua de Vidas Laborales","si","no_detectados","pendiente_microdatos","no","","Cobertura candidata de ediciones MCVL sin datos fiscales. Para calcular la tasa hacen falta al menos prestaciones, bases de cotizacion y afiliacion de la edicion correspondiente."
"2016","Seguridad Social, Muestra Continua de Vidas Laborales","si","no_detectados","pendiente_microdatos","no","","Cobertura candidata de ediciones MCVL sin datos fiscales. Para calcular la tasa hacen falta al menos prestaciones, bases de cotizacion y afiliacion de la edicion correspondiente."
"2017","Seguridad Social, Muestra Continua de Vidas Laborales","si","no_detectados","pendiente_microdatos","no","","Cobertura candidata de ediciones MCVL sin datos fiscales. Para calcular la tasa hacen falta al menos prestaciones, bases de cotizacion y afiliacion de la edicion correspondiente."
"2018","Seguridad Social, Muestra Continua de Vidas Laborales","si","no_detectados","pendiente_microdatos","no","","Cobertura candidata de ediciones MCVL sin datos fiscales. Para calcular la tasa hacen falta al menos prestaciones, bases de cotizacion y afiliacion de la edicion correspondiente."
"2019","Seguridad Social, Muestra Continua de Vidas Laborales","si","no_detectados","pendiente_microdatos","no","","Cobertura candidata de ediciones MCVL sin datos fiscales. Para calcular la tasa hacen falta al menos prestaciones, bases de cotizacion y afiliacion de la edicion correspondiente."
"2020","Seguridad Social, Muestra Continua de Vidas Laborales","si","no_detectados","pendiente_microdatos","no","","Cobertura candidata de ediciones MCVL sin datos fiscales. Para calcular la tasa hacen falta al menos prestaciones, bases de cotizacion y afiliacion de la edicion correspondiente."
"2021","Seguridad Social, Muestra Continua de Vidas Laborales","si","no_detectados","pendiente_microdatos","no","","Cobertura candidata de ediciones MCVL sin datos fiscales. Para calcular la tasa hacen falta al menos prestaciones, bases de cotizacion y afiliacion de la edicion correspondiente."
"2022","Seguridad Social, Muestra Continua de Vidas Laborales","si","no_detectados","pendiente_microdatos","no","","Cobertura candidata de ediciones MCVL sin datos fiscales. Para calcular la tasa hacen falta al menos prestaciones, bases de cotizacion y afiliacion de la edicion correspondiente."
"2023","Seguridad Social, Muestra Continua de Vidas Laborales","si","no_detectados","pendiente_microdatos","no","","Cobertura candidata de ediciones MCVL sin datos fiscales. Para calcular la tasa hacen falta al menos prestaciones, bases de cotizacion y afiliacion de la edicion correspondiente."
"2024","Seguridad Social, Muestra Continua de Vidas Laborales","si","no_detectados","pendiente_microdatos","no","","Cobertura candidata de ediciones MCVL sin datos fiscales. Para calcular la tasa hacen falta al menos prestaciones, bases de cotizacion y afiliacion de la edicion correspondiente."
