"ano","rubrica","rubrica_id","importe_millones_eur","afiliacion_media_total","euros_por_afiliacion_media","estado_dato","estado_denominador","fuente_numerador","fuente_denominador","notas"
"2001","Activos financieros","activos_financieros","149,8715","15685848,96","9,55","observado","observado","Seguridad Social, Presupuesto aprobado, Cuadro 4 ingresos por rubricas economicas","Seguridad Social, Serie de afiliacion media por regimenes","Indicador por afiliacion media, no por persona trabajadora unica. 2025P mantiene numerador presupuestado y denominador observado anual; no mezclar con liquidacion observada."
"2001","Cotizaciones sociales","cotizaciones_sociales","66071,66112","15685848,96","4212,18","observado","observado","Seguridad Social, Presupuesto aprobado, Cuadro 4 ingresos por rubricas economicas","Seguridad Social, Serie de afiliacion media por regimenes","Indicador por afiliacion media, no por persona trabajadora unica. 2025P mantiene numerador presupuestado y denominador observado anual; no mezclar con liquidacion observada."
"2001","Enajenación de inversiones reales","enajenacion_inversiones_reales","23,94937","15685848,96","1,53","observado","observado","Seguridad Social, Presupuesto aprobado, Cuadro 4 ingresos por rubricas economicas","Seguridad Social, Serie de afiliacion media por regimenes","Indicador por afiliacion media, no por persona trabajadora unica. 2025P mantiene numerador presupuestado y denominador observado anual; no mezclar con liquidacion observada."
"2001","Ingresos patrimoniales","ingresos_patrimoniales","501,15572","15685848,96","31,95","observado","observado","Seguridad Social, Presupuesto aprobado, Cuadro 4 ingresos por rubricas economicas","Seguridad Social, Serie de afiliacion media por regimenes","Indicador por afiliacion media, no por persona trabajadora unica. 2025P mantiene numerador presupuestado y denominador observado anual; no mezclar con liquidacion observada."
"2001","Operaciones corrientes","operaciones_corrientes","99284,392","15685848,96","6329,55","observado","observado","Seguridad Social, Presupuesto aprobado, Cuadro 4 ingresos por rubricas economicas","Seguridad Social, Serie de afiliacion media por regimenes","Indicador por afiliacion media, no por persona trabajadora unica. 2025P mantiene numerador presupuestado y denominador observado anual; no mezclar con liquidacion observada."
"2001","Operaciones de capital","operaciones_de_capital","554,17501","15685848,96","35,33","observado","observado","Seguridad Social, Presupuesto aprobado, Cuadro 4 ingresos por rubricas economicas","Seguridad Social, Serie de afiliacion media por regimenes","Indicador por afiliacion media, no por persona trabajadora unica. 2025P mantiene numerador presupuestado y denominador observado anual; no mezclar con liquidacion observada."
"2001","Operaciones financieras","operaciones_financieras","150,45826","15685848,96","9,59","observado","observado","Seguridad Social, Presupuesto aprobado, Cuadro 4 ingresos por rubricas economicas","Seguridad Social, Serie de afiliacion media por regimenes","Indicador por afiliacion media, no por persona trabajadora unica. 2025P mantiene numerador presupuestado y denominador observado anual; no mezclar con liquidacion observada."
"2001","Operaciones no financieras","operaciones_no_financieras","99838,56701","15685848,96","6364,88","observado","observado","Seguridad Social, Presupuesto aprobado, Cuadro 4 ingresos por rubricas economicas","Seguridad Social, Serie de afiliacion media por regimenes","Indicador por afiliacion media, no por persona trabajadora unica. 2025P mantiene numerador presupuestado y denominador observado anual; no mezclar con liquidacion observada."
"2001","Pasivos financieros","pasivos_financieros","0,58676","15685848,96","0,04","observado","observado","Seguridad Social, Presupuesto aprobado, Cuadro 4 ingresos por rubricas economicas","Seguridad Social, Serie de afiliacion media por regimenes","Indicador por afiliacion media, no por persona trabajadora unica. 2025P mantiene numerador presupuestado y denominador observado anual; no mezclar con liquidacion observada."
"2001","Tasas y otros ingresos","tasas_y_otros_ingresos","1328,68344","15685848,96","84,71","observado","observado","Seguridad Social, Presupuesto aprobado, Cuadro 4 ingresos por rubricas economicas","Seguridad Social, Serie de afiliacion media por regimenes","Indicador por afiliacion media, no por persona trabajadora unica. 2025P mantiene numerador presupuestado y denominador observado anual; no mezclar con liquidacion observada."
"2001","T O T A L E S","total_ingresos","99989,02527","15685848,96","6374,47","observado","observado","Seguridad Social, Presupuesto aprobado, Cuadro 4 ingresos por rubricas economicas","Seguridad Social, Serie de afiliacion media por regimenes","Indicador por afiliacion media, no por persona trabajadora unica. 2025P mantiene numerador presupuestado y denominador observado anual; no mezclar con liquidacion observada."
"2001","Transferencias corrientes","transferencias_corrientes","31382,89172","15685848,96","2000,71","observado","observado","Seguridad Social, Presupuesto aprobado, Cuadro 4 ingresos por rubricas economicas","Seguridad Social, Serie de afiliacion media por regimenes","Indicador por afiliacion media, no por persona trabajadora unica. 2025P mantiene numerador presupuestado y denominador observado anual; no mezclar con liquidacion observada."
"2001","Transferencias de capital","transferencias_de_capital","530,22564","15685848,96","33,8","observado","observado","Seguridad Social, Presupuesto aprobado, Cuadro 4 ingresos por rubricas economicas","Seguridad Social, Serie de afiliacion media por regimenes","Indicador por afiliacion media, no por persona trabajadora unica. 2025P mantiene numerador presupuestado y denominador observado anual; no mezclar con liquidacion observada."
"2002","Activos financieros","activos_financieros","79,41471","16173294,14","4,91","observado","observado","Seguridad Social, Presupuesto aprobado, Cuadro 4 ingresos por rubricas economicas","Seguridad Social, Serie de afiliacion media por regimenes","Indicador por afiliacion media, no por persona trabajadora unica. 2025P mantiene numerador presupuestado y denominador observado anual; no mezclar con liquidacion observada."
"2002","Cotizaciones sociales","cotizaciones_sociales","70577,81896","16173294,14","4363,85","observado","observado","Seguridad Social, Presupuesto aprobado, Cuadro 4 ingresos por rubricas economicas","Seguridad Social, Serie de afiliacion media por regimenes","Indicador por afiliacion media, no por persona trabajadora unica. 2025P mantiene numerador presupuestado y denominador observado anual; no mezclar con liquidacion observada."
"2002","Enajenación de inversiones reales","enajenacion_inversiones_reales","10,14758","16173294,14","0,63","observado","observado","Seguridad Social, Presupuesto aprobado, Cuadro 4 ingresos por rubricas economicas","Seguridad Social, Serie de afiliacion media por regimenes","Indicador por afiliacion media, no por persona trabajadora unica. 2025P mantiene numerador presupuestado y denominador observado anual; no mezclar con liquidacion observada."
"2002","Ingresos patrimoniales","ingresos_patrimoniales","570,66619","16173294,14","35,28","observado","observado","Seguridad Social, Presupuesto aprobado, Cuadro 4 ingresos por rubricas economicas","Seguridad Social, Serie de afiliacion media por regimenes","Indicador por afiliacion media, no por persona trabajadora unica. 2025P mantiene numerador presupuestado y denominador observado anual; no mezclar con liquidacion observada."
"2002","Operaciones corrientes","operaciones_corrientes","79736,4322","16173294,14","4930,13","observado","observado","Seguridad Social, Presupuesto aprobado, Cuadro 4 ingresos por rubricas economicas","Seguridad Social, Serie de afiliacion media por regimenes","Indicador por afiliacion media, no por persona trabajadora unica. 2025P mantiene numerador presupuestado y denominador observado anual; no mezclar con liquidacion observada."
