"anio_alta_jubilacion","fuente","edicion_mcvl_mismo_ano_candidata","campos_requeridos","cobertura","microdatos_locales","estado_cobertura","valor_calculado","archivos_detectados","nota"
"1996","Seguridad Social, Muestra Continua de Vidas Laborales / Base de Datos de Prestaciones","no_disponible","4.004 clase de prestacion; 4.011 fecha efectos economicos; 4.015 anos considerados cotizados; 4.041 periodo de cotizacion; 4.010 regimen; 4.028 tipo situacion jubilacion","solo_administrativo_completo; mcvl_posible_solo_supervivientes","no_detectados","pendiente_acceso_administrativo","no","","La MCVL empieza a publicarse desde 2004; para altas 1996-2003 una edicion posterior solo observaria pensiones supervivientes de personas incluidas en la muestra, no la cohorte completa de altas. Para uso editorial agregado se recomienda Base de Datos de Prestaciones o sala segura."
"1997","Seguridad Social, Muestra Continua de Vidas Laborales / Base de Datos de Prestaciones","no_disponible","4.004 clase de prestacion; 4.011 fecha efectos economicos; 4.015 anos considerados cotizados; 4.041 periodo de cotizacion; 4.010 regimen; 4.028 tipo situacion jubilacion","solo_administrativo_completo; mcvl_posible_solo_supervivientes","no_detectados","pendiente_acceso_administrativo","no","","La MCVL empieza a publicarse desde 2004; para altas 1996-2003 una edicion posterior solo observaria pensiones supervivientes de personas incluidas en la muestra, no la cohorte completa de altas. Para uso editorial agregado se recomienda Base de Datos de Prestaciones o sala segura."
"1998","Seguridad Social, Muestra Continua de Vidas Laborales / Base de Datos de Prestaciones","no_disponible","4.004 clase de prestacion; 4.011 fecha efectos economicos; 4.015 anos considerados cotizados; 4.041 periodo de cotizacion; 4.010 regimen; 4.028 tipo situacion jubilacion","solo_administrativo_completo; mcvl_posible_solo_supervivientes","no_detectados","pendiente_acceso_administrativo","no","","La MCVL empieza a publicarse desde 2004; para altas 1996-2003 una edicion posterior solo observaria pensiones supervivientes de personas incluidas en la muestra, no la cohorte completa de altas. Para uso editorial agregado se recomienda Base de Datos de Prestaciones o sala segura."
"1999","Seguridad Social, Muestra Continua de Vidas Laborales / Base de Datos de Prestaciones","no_disponible","4.004 clase de prestacion; 4.011 fecha efectos economicos; 4.015 anos considerados cotizados; 4.041 periodo de cotizacion; 4.010 regimen; 4.028 tipo situacion jubilacion","solo_administrativo_completo; mcvl_posible_solo_supervivientes","no_detectados","pendiente_acceso_administrativo","no","","La MCVL empieza a publicarse desde 2004; para altas 1996-2003 una edicion posterior solo observaria pensiones supervivientes de personas incluidas en la muestra, no la cohorte completa de altas. Para uso editorial agregado se recomienda Base de Datos de Prestaciones o sala segura."
"2000","Seguridad Social, Muestra Continua de Vidas Laborales / Base de Datos de Prestaciones","no_disponible","4.004 clase de prestacion; 4.011 fecha efectos economicos; 4.015 anos considerados cotizados; 4.041 periodo de cotizacion; 4.010 regimen; 4.028 tipo situacion jubilacion","solo_administrativo_completo; mcvl_posible_solo_supervivientes","no_detectados","pendiente_acceso_administrativo","no","","La MCVL empieza a publicarse desde 2004; para altas 1996-2003 una edicion posterior solo observaria pensiones supervivientes de personas incluidas en la muestra, no la cohorte completa de altas. Para uso editorial agregado se recomienda Base de Datos de Prestaciones o sala segura."
"2001","Seguridad Social, Muestra Continua de Vidas Laborales / Base de Datos de Prestaciones","no_disponible","4.004 clase de prestacion; 4.011 fecha efectos economicos; 4.015 anos considerados cotizados; 4.041 periodo de cotizacion; 4.010 regimen; 4.028 tipo situacion jubilacion","solo_administrativo_completo; mcvl_posible_solo_supervivientes","no_detectados","pendiente_acceso_administrativo","no","","La MCVL empieza a publicarse desde 2004; para altas 1996-2003 una edicion posterior solo observaria pensiones supervivientes de personas incluidas en la muestra, no la cohorte completa de altas. Para uso editorial agregado se recomienda Base de Datos de Prestaciones o sala segura."
"2002","Seguridad Social, Muestra Continua de Vidas Laborales / Base de Datos de Prestaciones","no_disponible","4.004 clase de prestacion; 4.011 fecha efectos economicos; 4.015 anos considerados cotizados; 4.041 periodo de cotizacion; 4.010 regimen; 4.028 tipo situacion jubilacion","solo_administrativo_completo; mcvl_posible_solo_supervivientes","no_detectados","pendiente_acceso_administrativo","no","","La MCVL empieza a publicarse desde 2004; para altas 1996-2003 una edicion posterior solo observaria pensiones supervivientes de personas incluidas en la muestra, no la cohorte completa de altas. Para uso editorial agregado se recomienda Base de Datos de Prestaciones o sala segura."
"2003","Seguridad Social, Muestra Continua de Vidas Laborales / Base de Datos de Prestaciones","no_disponible","4.004 clase de prestacion; 4.011 fecha efectos economicos; 4.015 anos considerados cotizados; 4.041 periodo de cotizacion; 4.010 regimen; 4.028 tipo situacion jubilacion","solo_administrativo_completo; mcvl_posible_solo_supervivientes","no_detectados","pendiente_acceso_administrativo","no","","La MCVL empieza a publicarse desde 2004; para altas 1996-2003 una edicion posterior solo observaria pensiones supervivientes de personas incluidas en la muestra, no la cohorte completa de altas. Para uso editorial agregado se recomienda Base de Datos de Prestaciones o sala segura."
"2004","Seguridad Social, Muestra Continua de Vidas Laborales / Base de Datos de Prestaciones","2004","4.004 clase de prestacion; 4.011 fecha efectos economicos; 4.015 anos considerados cotizados; 4.041 periodo de cotizacion; 4.010 regimen; 4.028 tipo situacion jubilacion","mcvl_edicion_anual_candidata; administrativo_completo_preferente","no_detectados","pendiente_microdatos_mcvl","no","","Existe edicion MCVL candidata para el ano, pero hacen falta microdatos locales de la tabla de pensiones/prestaciones. La fuente completa para todas las altas sigue siendo la Base de Datos de Prestaciones."
"2005","Seguridad Social, Muestra Continua de Vidas Laborales / Base de Datos de Prestaciones","2005","4.004 clase de prestacion; 4.011 fecha efectos economicos; 4.015 anos considerados cotizados; 4.041 periodo de cotizacion; 4.010 regimen; 4.028 tipo situacion jubilacion","mcvl_edicion_anual_candidata; administrativo_completo_preferente","no_detectados","pendiente_microdatos_mcvl","no","","Existe edicion MCVL candidata para el ano, pero hacen falta microdatos locales de la tabla de pensiones/prestaciones. La fuente completa para todas las altas sigue siendo la Base de Datos de Prestaciones."
