"ano","variable_id","candidato_millones_eur","serie_moderna_millones_eur","diferencia_candidato_menos_moderna_millones_eur","diferencia_pct_sobre_moderna","validacion","notas"
"1995","cotizaciones_sociales","41951,2","41951,1964","0,0036","0","coincide_redondeo","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
"1995","transferencias_corrientes","19222,27","19222,2694","0,0006","0","coincide_redondeo","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
"1995","otros_ingresos","4375,7","4375,7024","-0,0024","-0,0001","coincide_redondeo","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
"1995","total_neto_consolidado","65549,17","65549,1682","0,0018","0","coincide_redondeo","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
"1996","cotizaciones_sociales","45155,36","45155,3603","-0,0003","0","coincide_redondeo","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
"1996","transferencias_corrientes","20755,34","20755,3373","0,0027","0","coincide_redondeo","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
"1996","otros_ingresos","5146,57","4990,5145","156,0555","3,127","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
"1996","total_neto_consolidado","71057,27","70901,2121","156,0579","0,2201","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
"1997","cotizaciones_sociales","48041,2","48012,0596","29,1404","0,0607","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
"1997","transferencias_corrientes","22200,62","22200,6256","-0,0056","0","coincide_redondeo","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
"1997","otros_ingresos","5722,42","5493,9001","228,5199","4,1595","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
"1997","total_neto_consolidado","75964,24","75706,5853","257,6547","0,3403","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
"1998","cotizaciones_sociales","51327,18","51146,0394","181,1406","0,3542","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
"1998","transferencias_corrientes","24177,76","24177,7564","0,0036","0","coincide_redondeo","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
"1998","otros_ingresos","5544,29","5256,4941","287,7959","5,4751","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
"1998","total_neto_consolidado","81049,23","80580,29","468,94","0,582","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
"1999","cotizaciones_sociales","55112,26","54904,9423","207,3177","0,3776","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
"1999","transferencias_corrientes","26136,56","26136,5615","-0,0015","0","coincide_redondeo","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
"1999","otros_ingresos","2796,21","2711,2598","84,9502","3,1332","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
"1999","total_neto_consolidado","84045,03","83752,7637","292,2663","0,349","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
"2000","cotizaciones_sociales","60766,33","60539,0265","227,3035","0,3755","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
"2000","transferencias_corrientes","29247,15","29247,1558","-0,0058","0","coincide_redondeo","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
"2000","otros_ingresos","2437,84","2345,1212","92,7188","3,9537","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
"2000","total_neto_consolidado","92451,32","92131,3036","320,0164","0,3473","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
"2001","cotizaciones_sociales","66390,05","66071,6611","318,3889","0,4819","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
"2001","transferencias_corrientes","31382,9","31382,8917","0,0083","0","coincide_redondeo","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
"2001","otros_ingresos","2666,48","2534,4724","132,0076","5,2085","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
"2001","total_neto_consolidado","100439,43","99989,0253","450,4047","0,4505","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
"2002","cotizaciones_sociales","70829,1","70577,819","251,281","0,356","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
"2002","transferencias_corrientes","7701,08","7701,0132","0,0668","0,0009","coincide_redondeo","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
"2002","otros_ingresos","1840,92","1734,0932","106,8268","6,1604","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
"2002","total_neto_consolidado","100439,43","80012,9253","20426,5047","25,529","diferencia_relevante","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
"2003","cotizaciones_sociales","76429,56","76159,1869","270,3731","0,355","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
"2003","transferencias_corrientes","4267,13","4267,125","0,005","0,0001","coincide_redondeo","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
"2003","otros_ingresos","1952,93","1840,1591","112,7709","6,1283","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
"2003","total_neto_consolidado","82649,62","82266,4711","383,1489","0,4657","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
"2004","cotizaciones_sociales","81871,04","81600,0846","270,9554","0,3321","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
"2004","transferencias_corrientes","4618,08","4618,0842","-0,0042","-0,0001","coincide_redondeo","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
"2004","otros_ingresos","2177,52","2066,0931","111,4269","5,3931","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
"2004","total_neto_consolidado","88666,64","88284,2619","382,3781","0,4331","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
"2005","cotizaciones_sociales","88235,73","87906,8358","328,8942","0,3741","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
"2005","transferencias_corrientes","4895,71","4895,7234","-0,0134","-0,0003","coincide_redondeo","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. Otros ingresos en la serie moderna se calcula como total_ingresos - cotizaciones - transferencias."
