"ano","variable_id","variable","importe_millones_eur","porcentaje_sobre_total_publicado","total_recursos_millones_eur","suma_componentes_millones_eur","diferencia_suma_menos_total_millones_eur","estado_dato","fuente","notas"
"1980","cotizaciones_sociales","Cotizaciones sociales","9603,48","89,43","10738,27","10738,27","0","observado_tabla_secundaria","Seguridad Social, Observatorio Social de Espana, Informe 2007, tabla 4.6 y 4.7","Tabla 4.6 del Informe 2007 del Observatorio Social de Espana; fuente indicada: Seguridad Social."
"1980","transferencias_corrientes","Transferencias corrientes","1017,96","9,48","10738,27","10738,27","0","observado_tabla_secundaria","Seguridad Social, Observatorio Social de Espana, Informe 2007, tabla 4.6 y 4.7","Tabla 4.6 del Informe 2007 del Observatorio Social de Espana; fuente indicada: Seguridad Social."
"1980","otros_ingresos","Otros ingresos","116,83","1,09","10738,27","10738,27","0","observado_tabla_secundaria","Seguridad Social, Observatorio Social de Espana, Informe 2007, tabla 4.6 y 4.7","Tabla 4.6 del Informe 2007 del Observatorio Social de Espana; fuente indicada: Seguridad Social."
"1980","total_recursos","Total recursos","10738,27","100","10738,27","10738,27","0","observado_tabla_secundaria","Seguridad Social, Observatorio Social de Espana, Informe 2007, tabla 4.6 y 4.7","Tabla 4.6 del Informe 2007 del Observatorio Social de Espana; fuente indicada: Seguridad Social."
"1990","cotizaciones_sociales","Cotizaciones sociales","29217,42","71,76","40643,1","40643,1","0","observado_tabla_secundaria","Seguridad Social, Observatorio Social de Espana, Informe 2007, tabla 4.6 y 4.7","Tabla 4.6 del Informe 2007 del Observatorio Social de Espana; fuente indicada: Seguridad Social."
"1990","transferencias_corrientes","Transferencias corrientes","10169,6","24,98","40643,1","40643,1","0","observado_tabla_secundaria","Seguridad Social, Observatorio Social de Espana, Informe 2007, tabla 4.6 y 4.7","Tabla 4.6 del Informe 2007 del Observatorio Social de Espana; fuente indicada: Seguridad Social."
"1990","otros_ingresos","Otros ingresos","1256,08","3,26","40643,1","40643,1","0","observado_tabla_secundaria","Seguridad Social, Observatorio Social de Espana, Informe 2007, tabla 4.6 y 4.7","Tabla 4.6 del Informe 2007 del Observatorio Social de Espana; fuente indicada: Seguridad Social."
"1990","total_recursos","Total recursos","40643,1","100","40643,1","40643,1","0","observado_tabla_secundaria","Seguridad Social, Observatorio Social de Espana, Informe 2007, tabla 4.6 y 4.7","Tabla 4.6 del Informe 2007 del Observatorio Social de Espana; fuente indicada: Seguridad Social."
"1995","cotizaciones_sociales","Cotizaciones sociales","41951,2","64,11","65439,8","65439,8","0","observado_tabla_secundaria","Seguridad Social, Observatorio Social de Espana, Informe 2007, tabla 4.6 y 4.7","Tabla 4.6 del Informe 2007 del Observatorio Social de Espana; fuente indicada: Seguridad Social."
"1995","transferencias_corrientes","Transferencias corrientes","19222,27","29,37","65439,8","65439,8","0","observado_tabla_secundaria","Seguridad Social, Observatorio Social de Espana, Informe 2007, tabla 4.6 y 4.7","Tabla 4.6 del Informe 2007 del Observatorio Social de Espana; fuente indicada: Seguridad Social."
"1995","otros_ingresos","Otros ingresos","4266,33","6,52","65439,8","65439,8","0","observado_tabla_secundaria","Seguridad Social, Observatorio Social de Espana, Informe 2007, tabla 4.6 y 4.7","Tabla 4.6 del Informe 2007 del Observatorio Social de Espana; fuente indicada: Seguridad Social."
"1995","total_recursos","Total recursos","65439,8","100","65439,8","65439,8","0","observado_tabla_secundaria","Seguridad Social, Observatorio Social de Espana, Informe 2007, tabla 4.6 y 4.7","Tabla 4.6 del Informe 2007 del Observatorio Social de Espana; fuente indicada: Seguridad Social."
"2000","cotizaciones_sociales","Cotizaciones sociales","60766,33","65,73","92451,32","92451,32","0","observado_tabla_secundaria","Seguridad Social, Observatorio Social de Espana, Informe 2007, tabla 4.6 y 4.7","Tabla 4.6 del Informe 2007 del Observatorio Social de Espana; fuente indicada: Seguridad Social."
"2000","transferencias_corrientes","Transferencias corrientes","29247,15","31,64","92451,32","92451,32","0","observado_tabla_secundaria","Seguridad Social, Observatorio Social de Espana, Informe 2007, tabla 4.6 y 4.7","Tabla 4.6 del Informe 2007 del Observatorio Social de Espana; fuente indicada: Seguridad Social."
"2000","otros_ingresos","Otros ingresos","2437,84","2,63","92451,32","92451,32","0","observado_tabla_secundaria","Seguridad Social, Observatorio Social de Espana, Informe 2007, tabla 4.6 y 4.7","Tabla 4.6 del Informe 2007 del Observatorio Social de Espana; fuente indicada: Seguridad Social."
"2000","total_recursos","Total recursos","92451,32","100","92451,32","92451,32","0","observado_tabla_secundaria","Seguridad Social, Observatorio Social de Espana, Informe 2007, tabla 4.6 y 4.7","Tabla 4.6 del Informe 2007 del Observatorio Social de Espana; fuente indicada: Seguridad Social."
"2001","cotizaciones_sociales","Cotizaciones sociales","66390,05","66,1","100439,43","100439,43","0","observado_tabla_secundaria","Seguridad Social, Observatorio Social de Espana, Informe 2007, tabla 4.6 y 4.7","Tabla 4.6 del Informe 2007 del Observatorio Social de Espana; fuente indicada: Seguridad Social."
"2001","transferencias_corrientes","Transferencias corrientes","31382,9","31,25","100439,43","100439,43","0","observado_tabla_secundaria","Seguridad Social, Observatorio Social de Espana, Informe 2007, tabla 4.6 y 4.7","Tabla 4.6 del Informe 2007 del Observatorio Social de Espana; fuente indicada: Seguridad Social."
