"ano","variable_id","observatorio_millones_eur","serie_moderna_millones_eur","diferencia_observatorio_menos_moderna_millones_eur","diferencia_pct_sobre_moderna","validacion","notas"
"1995","cotizaciones_sociales","41951,2","41951,1964","0,0036","0","coincide_redondeo","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. 2006 y 2007 en Observatorio son presupuesto inicial."
"1995","transferencias_corrientes","19222,27","19222,2694","0,0006","0","coincide_redondeo","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. 2006 y 2007 en Observatorio son presupuesto inicial."
"1995","otros_ingresos","4266,33","4375,7024","-109,3724","-2,4995","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. 2006 y 2007 en Observatorio son presupuesto inicial."
"1995","total_recursos","65439,8","65549,1682","-109,3682","-0,1668","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. 2006 y 2007 en Observatorio son presupuesto inicial."
"2000","cotizaciones_sociales","60766,33","60539,0265","227,3035","0,3755","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. 2006 y 2007 en Observatorio son presupuesto inicial."
"2000","transferencias_corrientes","29247,15","29247,1558","-0,0058","0","coincide_redondeo","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. 2006 y 2007 en Observatorio son presupuesto inicial."
"2000","otros_ingresos","2437,84","2345,1212","92,7188","3,9537","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. 2006 y 2007 en Observatorio son presupuesto inicial."
"2000","total_recursos","92451,32","92131,3036","320,0164","0,3473","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. 2006 y 2007 en Observatorio son presupuesto inicial."
"2001","cotizaciones_sociales","66390,05","66071,6611","318,3889","0,4819","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. 2006 y 2007 en Observatorio son presupuesto inicial."
"2001","transferencias_corrientes","31382,9","31382,8917","0,0083","0","coincide_redondeo","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. 2006 y 2007 en Observatorio son presupuesto inicial."
"2001","otros_ingresos","2666,48","2534,4724","132,0076","5,2085","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. 2006 y 2007 en Observatorio son presupuesto inicial."
"2001","total_recursos","100439,43","99989,0253","450,4047","0,4505","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. 2006 y 2007 en Observatorio son presupuesto inicial."
"2002","cotizaciones_sociales","70829,1","70577,819","251,281","0,356","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. 2006 y 2007 en Observatorio son presupuesto inicial."
"2002","transferencias_corrientes","7701,08","7701,0132","0,0668","0,0009","coincide_redondeo","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. 2006 y 2007 en Observatorio son presupuesto inicial."
"2002","otros_ingresos","1840,92","1734,0932","106,8268","6,1604","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. 2006 y 2007 en Observatorio son presupuesto inicial."
"2002","total_recursos","80371,1","80012,9253","358,1747","0,4476","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. 2006 y 2007 en Observatorio son presupuesto inicial."
"2003","cotizaciones_sociales","76429,56","76159,1869","270,3731","0,355","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. 2006 y 2007 en Observatorio son presupuesto inicial."
"2003","transferencias_corrientes","4267,13","4267,125","0,005","0,0001","coincide_redondeo","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. 2006 y 2007 en Observatorio son presupuesto inicial."
"2003","otros_ingresos","1952,93","1840,1591","112,7709","6,1283","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. 2006 y 2007 en Observatorio son presupuesto inicial."
"2003","total_recursos","82649,62","82266,4711","383,1489","0,4657","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. 2006 y 2007 en Observatorio son presupuesto inicial."
"2004","cotizaciones_sociales","81871,04","81600,0846","270,9554","0,3321","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. 2006 y 2007 en Observatorio son presupuesto inicial."
"2004","transferencias_corrientes","4618,08","4618,0842","-0,0042","-0,0001","coincide_redondeo","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. 2006 y 2007 en Observatorio son presupuesto inicial."
"2004","otros_ingresos","2177,52","2066,0931","111,4269","5,3931","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. 2006 y 2007 en Observatorio son presupuesto inicial."
"2004","total_recursos","88666,64","88284,2619","382,3781","0,4331","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. 2006 y 2007 en Observatorio son presupuesto inicial."
"2005","cotizaciones_sociales","88235,73","87906,8358","328,8942","0,3741","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. 2006 y 2007 en Observatorio son presupuesto inicial."
"2005","transferencias_corrientes","4895,71","4895,7234","-0,0134","-0,0003","coincide_redondeo","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. 2006 y 2007 en Observatorio son presupuesto inicial."
"2005","otros_ingresos","2582,15","2465,6115","116,5385","4,7266","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. 2006 y 2007 en Observatorio son presupuesto inicial."
"2005","total_recursos","95713,59","95268,1706","445,4194","0,4675","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. 2006 y 2007 en Observatorio son presupuesto inicial."
"2006","cotizaciones_sociales","90169,4","95401,9481","-5232,5481","-5,4847","diferencia_relevante","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. 2006 y 2007 en Observatorio son presupuesto inicial."
"2006","transferencias_corrientes","5294,91","5313,4588","-18,5488","-0,3491","diferencia_menor","Comparacion contra la serie moderna liquidada de Seguridad Social 1995-2025P. 2006 y 2007 en Observatorio son presupuesto inicial."
