Sexo;Distintos grupos de edad;Tipo de tasa;Periodo;Total
ambos sexos;total;tasas de actividad;2004TIV;56,74
ambos sexos;total;tasas de actividad;2004TIII;56,60
ambos sexos;total;tasas de actividad;2004TII;56,23
ambos sexos;total;tasas de actividad;2004TI;55,89
ambos sexos;total;tasas de actividad;2003TIV;55,91
ambos sexos;total;tasas de actividad;2003TIII;55,79
ambos sexos;total;tasas de actividad;2003TII;55,30
ambos sexos;total;tasas de actividad;2003TI;54,93
ambos sexos;total;tasas de actividad;2002TIV;54,63
ambos sexos;total;tasas de actividad;2002TIII;54,61
ambos sexos;total;tasas de actividad;2002TII;54,12
ambos sexos;total;tasas de actividad;2002TI;53,72
ambos sexos;total;tasas de actividad;2001TIV;53,41
ambos sexos;total;tasas de actividad;2001TIII;53,23
ambos sexos;total;tasas de actividad;2001TII;52,73
ambos sexos;total;tasas de actividad;2001TI;52,57
ambos sexos;total;tasas de actividad;2000TIV;53,98
ambos sexos;total;tasas de actividad;2000TIII;53,90
ambos sexos;total;tasas de actividad;2000TII;53,38
ambos sexos;total;tasas de actividad;2000TI;53,10
ambos sexos;total;tasas de actividad;1999TIV;52,95
ambos sexos;total;tasas de actividad;1999TIII;52,68
ambos sexos;total;tasas de actividad;1999TII;52,16
ambos sexos;total;tasas de actividad;1999TI;52,06
ambos sexos;total;tasas de actividad;1998TIV;52,21
ambos sexos;total;tasas de actividad;1998TIII;52,26
ambos sexos;total;tasas de actividad;1998TII;51,75
ambos sexos;total;tasas de actividad;1998TI;51,63
ambos sexos;total;tasas de actividad;1997TIV;51,83
ambos sexos;total;tasas de actividad;1997TIII;51,73
ambos sexos;total;tasas de actividad;1997TII;51,45
ambos sexos;total;tasas de actividad;1997TI;51,35
ambos sexos;total;tasas de actividad;1996TIV;51,47
ambos sexos;total;tasas de actividad;1996TIII;51,49
ambos sexos;total;tasas de actividad;1996TII;51,08
ambos sexos;total;tasas de actividad;1996TI;51,03
ambos sexos;total;tasas de paro;2004TIV;10,56
ambos sexos;total;tasas de paro;2004TIII;10,74
ambos sexos;total;tasas de paro;2004TII;11,08
ambos sexos;total;tasas de paro;2004TI;11,50
ambos sexos;total;tasas de paro;2003TIV;11,37
ambos sexos;total;tasas de paro;2003TIII;11,31
ambos sexos;total;tasas de paro;2003TII;11,28
ambos sexos;total;tasas de paro;2003TI;11,96
ambos sexos;total;tasas de paro;2002TIV;11,62
ambos sexos;total;tasas de paro;2002TIII;11,51
ambos sexos;total;tasas de paro;2002TII;11,20
ambos sexos;total;tasas de paro;2002TI;11,57
ambos sexos;total;tasas de paro;2001TIV;10,63
ambos sexos;total;tasas de paro;2001TIII;10,29
ambos sexos;total;tasas de paro;2001TII;10,35
